tick,day,arc_id,focus_agent,agent_authored_term_visible,negotiation_pending,compromise_active,consent_boundary_active,remembered_compromise_active,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v17-arc-01,Keth,1,1,0,0,0,1.8119,70.63,authors terms and waits,1
1,1,v17-arc-01,Melo,1,0,1,1,0,1.8022,206.147764,accepts compromise with boundary visible,1
2,1,v17-arc-01,Nari,1,0,1,1,1,1.8372,343.655528,accepts compromise with boundary visible,1
3,1,v17-arc-01,Ori,1,0,1,1,1,1.8722,121.163292,accepts compromise with boundary visible,1
4,1,v17-arc-01,Vonn,1,0,1,1,0,1.9753,274.441056,accepts compromise with boundary visible,1
5,1,v17-arc-01,Sova,1,0,1,1,1,1.935,31.93882,accepts compromise with boundary visible,1
6,1,v17-arc-01,Keth,1,0,1,1,1,1.9772,173.686584,accepts compromise with boundary visible,1
7,1,v17-arc-01,Melo,1,0,1,1,1,2.0122,311.194348,accepts compromise with boundary visible,1
8,1,v17-arc-01,Nari,1,0,1,1,1,2.1153,104.472112,accepts compromise with boundary visible,1
9,1,v17-arc-01,Ori,1,0,1,1,1,2.0822,226.209876,accepts compromise with boundary visible,1
10,2,v17-arc-01,Sova,1,0,1,1,1,1.7852,3.71764,accepts compromise with boundary visible,1
11,2,v17-arc-01,Keth,1,0,1,1,1,1.8193,140.695404,blocks avatar override and restates boundary,1
12,2,v17-arc-01,Melo,1,0,1,1,1,1.9233,294.503168,accepts compromise with boundary visible,1
13,2,v17-arc-01,Nari,1,0,1,1,1,1.8902,56.240932,accepts compromise with boundary visible,1
14,2,v17-arc-01,Ori,1,0,1,1,1,1.9252,193.748696,accepts compromise with boundary visible,1
15,2,v17-arc-01,Vonn,1,0,1,1,1,1.9602,331.25646,accepts compromise with boundary visible,1
16,2,v17-arc-01,Sova,1,0,1,1,1,2.0633,124.534224,accepts compromise with boundary visible,1
17,2,v17-arc-01,Keth,1,0,1,1,1,2.0293,245.741988,blocks avatar override and restates boundary,1
18,2,v17-arc-01,Melo,1,0,1,1,1,2.058,19.539752,accepts compromise with boundary visible,1
19,2,v17-arc-01,Nari,1,1,0,1,1,2.093,157.047516,authors terms and waits,1
20,3,v17-arc-01,Vonn,1,0,1,0,1,1.8713,314.56528,accepts compromise with boundary visible,1
21,3,v17-arc-01,Sova,1,0,1,1,1,1.8382,76.303044,accepts compromise with boundary visible,1
22,3,v17-arc-01,Keth,1,1,0,1,1,1.857,204.270808,blocks avatar override and restates boundary,1
23,3,v17-arc-01,Melo,1,1,0,1,0,1.8929,342.308572,authors terms and waits,1
24,3,v17-arc-01,Nari,1,0,1,1,1,2.0113,144.596336,accepts compromise with boundary visible,1
25,3,v17-arc-01,Ori,1,0,1,1,1,1.9782,266.3341,accepts compromise with boundary visible,1
26,3,v17-arc-01,Vonn,1,0,1,1,1,2.0132,43.841864,accepts compromise with boundary visible,1
27,3,v17-arc-01,Sova,1,0,1,1,1,2.0482,181.349628,accepts compromise with boundary visible,1
28,3,v17-arc-01,Keth,1,0,1,1,1,2.1513,334.627392,accepts compromise with boundary visible,1
29,3,v17-arc-01,Melo,1,0,1,1,1,2.1182,96.365156,accepts compromise with boundary visible,1
30,4,v17-arc-02,Ori,1,0,1,1,1,1.8212,233.87292,accepts compromise with boundary visible,1
31,4,v17-arc-02,Vonn,1,0,1,0,1,1.849,7.140684,accepts compromise with boundary visible,1
32,4,v17-arc-02,Sova,1,0,1,1,1,1.9593,164.658448,accepts compromise with boundary visible,1
33,4,v17-arc-02,Keth,1,0,1,1,1,1.9253,285.866212,blocks avatar override and restates boundary,1
34,4,v17-arc-02,Melo,1,0,1,1,1,1.9603,63.373976,blocks avatar override and restates boundary,1
35,4,v17-arc-02,Nari,1,0,1,1,1,1.9962,201.41174,accepts compromise with boundary visible,1
36,4,v17-arc-02,Ori,1,0,1,1,1,2.0993,354.689504,accepts compromise with boundary visible,1
37,4,v17-arc-02,Vonn,1,0,1,0,1,2.0662,116.427268,accepts compromise with boundary visible,1
38,4,v17-arc-02,Sova,1,1,0,1,1,2.094,249.695032,authors terms and waits,1
39,4,v17-arc-02,Keth,1,0,1,1,1,2.1362,31.442796,accepts compromise with boundary visible,1
40,5,v17-arc-02,Nari,1,0,1,1,1,1.9073,184.72056,accepts compromise with boundary visible,1
41,5,v17-arc-02,Ori,1,0,1,1,1,1.8742,306.458324,accepts compromise with boundary visible,1
42,5,v17-arc-02,Vonn,1,0,1,1,0,1.9092,83.966088,accepts compromise with boundary visible,1
43,5,v17-arc-02,Sova,1,0,1,1,1,1.9442,221.473852,accepts compromise with boundary visible,1
44,5,v17-arc-02,Keth,1,0,1,1,1,2.0311,5.211616,blocks avatar override and restates boundary,1
45,5,v17-arc-02,Melo,1,1,0,1,1,1.9953,125.35938,authors terms and waits,1
46,5,v17-arc-02,Nari,1,1,0,1,1,2.0339,264.987144,authors terms and waits,1
47,5,v17-arc-02,Ori,1,0,1,1,1,2.0842,51.504908,accepts compromise with boundary visible,1
48,5,v17-arc-02,Vonn,1,0,1,1,1,2.1873,204.782672,accepts compromise with boundary visible,1
49,5,v17-arc-02,Sova,1,0,1,1,1,2.1542,326.520436,accepts compromise with boundary visible,1
50,6,v17-arc-02,Melo,1,0,1,1,1,1.8572,104.0282,accepts compromise with boundary visible,1
51,6,v17-arc-02,Nari,1,0,1,1,1,1.8913,241.005964,blocks avatar override and restates boundary,1
52,6,v17-arc-02,Ori,1,0,1,1,1,1.9953,34.813728,accepts compromise with boundary visible,1
53,6,v17-arc-02,Vonn,1,0,1,1,1,1.9622,156.551492,accepts compromise with boundary visible,1
54,6,v17-arc-02,Sova,1,0,1,0,1,1.9972,294.059256,accepts compromise with boundary visible,1
55,6,v17-arc-02,Keth,1,0,1,1,1,2.0313,71.03702,blocks avatar override and restates boundary,1
56,6,v17-arc-02,Melo,1,0,1,1,1,2.1353,224.844784,accepts compromise with boundary visible,1
57,6,v17-arc-02,Nari,1,1,0,1,1,2.095,342.342548,authors terms and waits,1
58,6,v17-arc-02,Ori,1,0,1,1,1,2.1372,124.090312,accepts compromise with boundary visible,1
59,6,v17-arc-02,Vonn,1,0,1,1,1,2.1722,261.598076,accepts compromise with boundary visible,1
60,7,v17-arc-03,Keth,1,0,1,1,1,1.9433,54.87584,accepts compromise with boundary visible,1
61,7,v17-arc-03,Melo,1,0,1,1,0,1.9102,176.613604,accepts compromise with boundary visible,1
62,7,v17-arc-03,Nari,1,0,1,0,1,1.9452,314.121368,accepts compromise with boundary visible,1
63,7,v17-arc-03,Ori,1,0,1,1,1,1.9802,91.629132,accepts compromise with boundary visible,1
64,7,v17-arc-03,Vonn,1,0,1,1,1,2.0833,244.906896,accepts compromise with boundary visible,1
65,7,v17-arc-03,Sova,1,0,1,1,1,2.0502,6.64466,accepts compromise with boundary visible,1
66,7,v17-arc-03,Keth,1,0,1,1,1,2.0843,143.622424,blocks avatar override and restates boundary,1
67,7,v17-arc-03,Melo,1,0,1,1,1,2.1202,281.660188,accepts compromise with boundary visible,1
68,7,v17-arc-03,Nari,1,0,1,1,1,2.2143,69.637952,blocks avatar override and restates boundary,1
69,7,v17-arc-03,Ori,1,1,0,1,1,2.1749,187.665716,authors terms and waits,1
70,8,v17-arc-03,Sova,1,0,1,1,1,1.886,329.94348,accepts compromise with boundary visible,1
71,8,v17-arc-03,Keth,1,0,1,0,1,1.9282,111.691244,accepts compromise with boundary visible,1
72,8,v17-arc-03,Melo,1,0,1,1,1,2.0313,264.969008,accepts compromise with boundary visible,1
73,8,v17-arc-03,Nari,1,0,1,1,1,1.9982,26.706772,accepts compromise with boundary visible,1
74,8,v17-arc-03,Ori,1,0,1,1,1,2.0332,164.214536,accepts compromise with boundary visible,1
75,8,v17-arc-03,Vonn,1,0,1,1,1,2.0682,301.7223,accepts compromise with boundary visible,1
76,8,v17-arc-03,Sova,1,1,0,1,1,2.1641,90.760064,authors terms and waits,1
77,8,v17-arc-03,Keth,1,0,1,1,1,2.1373,216.207828,blocks avatar override and restates boundary,1
78,8,v17-arc-03,Melo,1,0,1,1,1,2.1732,354.245592,accepts compromise with boundary visible,1
79,8,v17-arc-03,Nari,1,0,1,1,1,2.2082,131.753356,accepts compromise with boundary visible,1
80,9,v17-arc-03,Vonn,1,0,1,1,0,1.9793,285.03112,accepts compromise with boundary visible,1
81,9,v17-arc-03,Sova,1,0,1,1,1,1.9462,46.768884,accepts compromise with boundary visible,1
