tick_id,day,settlement_id,avatar_x,avatar_y,local_room,nearby_object,movement_action,collision_guard,sensory_cue_visible,movement_saved
0,1,riverbend,0.455,0.5,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
1,1,roofward,0.5,0.538,arrival court,memory marker,pause,True,hinge ticks; thyme paper; warm draft,True
2,1,archive,0.545,0.462,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
3,1,signal,0.455,0.5,arrival court,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
4,1,orchard,0.5,0.538,ritual lane,owned tool,step,True,cart creak; apple soil; damp air,True
5,1,repair_ring,0.545,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
6,1,riverbend,0.41,0.5,ritual lane,memory marker,pause,True,river slap; cedar resin; cold spray,True
7,1,roofward,0.5,0.576,ritual lane,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
8,1,archive,0.59,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
9,1,signal,0.41,0.5,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
10,1,orchard,0.5,0.576,resident threshold,memory marker,pause,True,cart creak; apple soil; damp air,True
11,1,repair_ring,0.59,0.424,resident threshold,memory marker,step,True,bell hum; hot copper; warm metal,True
12,2,riverbend,0.365,0.538,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
13,2,roofward,0.5,0.538,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
14,2,archive,0.635,0.424,arrival court,ritual gate,step,True,page flutter; ink linen; cool stone,True
15,2,signal,0.365,0.538,arrival court,memory marker,step,True,static crickets; lamp oil; cool dusk,True
16,2,orchard,0.5,0.538,ritual lane,owned tool,step,True,cart creak; apple soil; damp air,True
17,2,repair_ring,0.635,0.424,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
18,2,riverbend,0.32,0.576,ritual lane,memory marker,step,True,river slap; cedar resin; cold spray,True
19,2,roofward,0.5,0.5,ritual lane,owned tool,step,True,hinge ticks; thyme paper; warm draft,True
20,2,archive,0.68,0.424,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
21,2,signal,0.32,0.576,resident threshold,memory marker,step,True,static crickets; lamp oil; cool dusk,True
22,2,orchard,0.5,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
23,2,repair_ring,0.68,0.424,resident threshold,ritual gate,step,True,bell hum; hot copper; warm metal,True
24,3,riverbend,0.275,0.538,arrival court,memory marker,pause,True,river slap; cedar resin; cold spray,True
25,3,roofward,0.5,0.5,arrival court,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
26,3,archive,0.725,0.462,arrival court,memory marker,pause,True,page flutter; ink linen; cool stone,True
27,3,signal,0.275,0.538,arrival court,owned tool,step,True,static crickets; lamp oil; cool dusk,True
28,3,orchard,0.5,0.5,ritual lane,memory marker,step,True,cart creak; apple soil; damp air,True
29,3,repair_ring,0.725,0.462,ritual lane,memory marker,step,True,bell hum; hot copper; warm metal,True
30,3,riverbend,0.23,0.5,ritual lane,owned tool,step,True,river slap; cedar resin; cold spray,True
31,3,roofward,0.5,0.5,ritual lane,memory marker,step,True,hinge ticks; thyme paper; warm draft,True
32,3,archive,0.77,0.5,resident threshold,memory marker,step,True,page flutter; ink linen; cool stone,True
33,3,signal,0.23,0.5,resident threshold,memory marker,pause,True,static crickets; lamp oil; cool dusk,True
34,3,orchard,0.5,0.5,resident threshold,memory marker,step,True,cart creak; apple soil; damp air,True
35,3,repair_ring,0.77,0.5,resident threshold,memory marker,pause,True,bell hum; hot copper; warm metal,True
36,4,riverbend,0.185,0.5,arrival court,memory marker,step,True,river slap; cedar resin; cold spray,True
37,4,roofward,0.5,0.538,arrival court,ritual gate,step,True,hinge ticks; thyme paper; warm draft,True
38,4,archive,0.815,0.462,arrival court,memory marker,step,True,page flutter; ink linen; cool stone,True
39,4,signal,0.185,0.5,arrival court,owned tool,step,True,static crickets; lamp oil; cool dusk,True
