tick_id,day,session_id,settlement_id,tool_name,claimant_id,holder_id,dispute_reason,resolution_option,ownership_boundary_visible,refusal_possible,avatar_can_override,handoff_or_defer_visible,trust_before,trust_after,dispute_bounded
0,1,canvas-session-001,lichen_bridge,ledger punch,Luma,Rin,signal order unclear,defer task,True,True,False,True,0.58,0.582,True
1,1,canvas-session-001,orchid_engine,valve key,Dax,Eli,orchid rest period,resident leads,True,True,False,True,0.58,0.584,True
2,1,canvas-session-001,moss_ward,loom hook,Tala,Ari,owner still using it,ask first,True,True,False,True,0.58,0.584,True
3,1,canvas-session-001,glass_harbor,rope gauge,Nia,Oren,net lane crowded,wait turn,True,True,False,True,0.58,0.584,True
4,1,canvas-session-001,cinder_garden,shade mallet,Pax,Vale,basket count mismatch,use spare,True,True,False,True,0.58,0.584,True
5,1,canvas-session-001,lichen_bridge,bell file,Rin,Sol,tension keeper objects,defer task,True,True,False,True,0.58,0.582,True
6,1,canvas-session-001,orchid_engine,lamp tongs,Eli,Bea,gear lane blocked,resident leads,True,True,False,True,0.58,0.584,True
7,1,canvas-session-001,moss_ward,reed knife,Ari,Fay,unsafe handoff,ask first,True,True,False,True,0.58,0.584,True
8,1,canvas-session-001,glass_harbor,net shuttle,Oren,Puck,lamp keeper objects,wait turn,True,True,False,True,0.58,0.584,True
9,1,canvas-session-001,cinder_garden,calendar stylus,Vale,Wren,heat makes tool unsafe,use spare,True,True,False,True,0.58,0.584,True
10,1,canvas-session-001,lichen_bridge,tension peg,Sol,Kio,meal token reserved,defer task,True,True,False,True,0.58,0.582,True
11,1,canvas-session-001,orchid_engine,gear brush,Bea,Cai,valve keeper refuses,resident leads,True,True,False,True,0.58,0.584,True
12,1,canvas-session-001,moss_ward,ledger awl,Fay,Milo,tool was promised,ask first,True,True,False,True,0.58,0.584,True
13,1,canvas-session-001,glass_harbor,wick clamp,Puck,Sera,borrow token missing,wait turn,True,True,False,True,0.58,0.584,True
14,1,canvas-session-001,cinder_garden,basket hook,Wren,Juno,seed caller has claim,use spare,True,True,False,True,0.58,0.584,True
15,1,canvas-session-001,lichen_bridge,ledger punch,Kio,Luma,signal order unclear,defer task,True,True,False,True,0.58,0.582,True
16,1,canvas-session-001,orchid_engine,valve key,Cai,Dax,orchid rest period,resident leads,True,True,False,True,0.58,0.584,True
17,1,canvas-session-001,moss_ward,loom hook,Milo,Tala,owner still using it,ask first,True,True,False,True,0.58,0.584,True
18,2,canvas-session-001,cinder_garden,basket hook,Pax,Vale,basket count mismatch,resident leads,True,True,False,True,0.589,0.591,True
19,2,canvas-session-001,lichen_bridge,ledger punch,Rin,Sol,tension keeper objects,ask first,True,True,False,True,0.587,0.591,True
20,2,canvas-session-001,orchid_engine,valve key,Eli,Bea,gear lane blocked,wait turn,True,True,False,True,0.589,0.593,True
21,2,canvas-session-001,moss_ward,loom hook,Ari,Fay,unsafe handoff,use spare,True,True,False,True,0.589,0.593,True
22,2,canvas-session-001,glass_harbor,rope gauge,Oren,Puck,lamp keeper objects,defer task,True,True,False,True,0.589,0.593,True
23,2,canvas-session-001,cinder_garden,shade mallet,Vale,Wren,heat makes tool unsafe,resident leads,True,True,False,True,0.594,0.596,True
24,2,canvas-session-001,lichen_bridge,bell file,Sol,Kio,meal token reserved,ask first,True,True,False,True,0.592,0.596,True
25,2,canvas-session-001,orchid_engine,lamp tongs,Bea,Cai,valve keeper refuses,wait turn,True,True,False,True,0.594,0.598,True
26,2,canvas-session-001,moss_ward,reed knife,Fay,Milo,tool was promised,use spare,True,True,False,True,0.592,0.596,True
27,2,canvas-session-001,glass_harbor,net shuttle,Puck,Sera,borrow token missing,defer task,True,True,False,True,0.594,0.598,True
28,2,canvas-session-001,cinder_garden,calendar stylus,Wren,Juno,seed caller has claim,resident leads,True,True,False,True,0.592,0.594,True
29,2,canvas-session-001,lichen_bridge,tension peg,Kio,Luma,signal order unclear,ask first,True,True,False,True,0.592,0.596,True
30,2,canvas-session-001,orchid_engine,gear brush,Cai,Dax,orchid rest period,wait turn,True,True,False,True,0.594,0.598,True
31,2,canvas-session-001,moss_ward,ledger awl,Milo,Tala,owner still using it,use spare,True,True,False,True,0.594,0.598,True
32,2,canvas-session-001,glass_harbor,wick clamp,Sera,Nia,net lane crowded,defer task,True,True,False,True,0.585,0.589,True
33,2,canvas-session-001,cinder_garden,basket hook,Juno,Pax,basket count mismatch,resident leads,True,True,False,True,0.583,0.585,True
34,2,canvas-session-001,lichen_bridge,ledger punch,Luma,Rin,tension keeper objects,ask first,True,True,False,True,0.59,0.594,True
35,2,canvas-session-001,orchid_engine,valve key,Dax,Eli,gear lane blocked,wait turn,True,True,False,True,0.594,0.598,True
36,3,canvas-session-001,glass_harbor,wick clamp,Oren,Puck,lamp keeper objects,ask first,True,True,False,True,0.593,0.595,True
37,3,canvas-session-001,cinder_garden,basket hook,Vale,Wren,heat makes tool unsafe,wait turn,True,True,False,True,0.596,0.6,True
38,3,canvas-session-001,lichen_bridge,ledger punch,Sol,Kio,meal token reserved,use spare,True,True,False,True,0.596,0.6,True
39,3,canvas-session-001,orchid_engine,valve key,Bea,Cai,valve keeper refuses,defer task,True,True,False,True,0.598,0.602,True
40,3,canvas-session-001,moss_ward,loom hook,Fay,Milo,tool was promised,resident leads,True,True,False,True,0.596,0.6,True
41,3,canvas-session-001,glass_harbor,rope gauge,Puck,Sera,borrow token missing,ask first,True,True,False,True,0.598,0.6,True
42,3,canvas-session-001,cinder_garden,shade mallet,Wren,Juno,seed caller has claim,wait turn,True,True,False,True,0.594,0.598,True
43,3,canvas-session-001,lichen_bridge,bell file,Kio,Luma,signal order unclear,use spare,True,True,False,True,0.596,0.6,True
44,3,canvas-session-001,orchid_engine,lamp tongs,Cai,Dax,orchid rest period,defer task,True,True,False,True,0.598,0.602,True
45,3,canvas-session-001,moss_ward,reed knife,Milo,Tala,owner still using it,resident leads,True,True,False,True,0.598,0.602,True
46,3,canvas-session-001,glass_harbor,net shuttle,Sera,Nia,net lane crowded,ask first,True,True,False,True,0.594,0.596,True
47,3,canvas-session-001,cinder_garden,calendar stylus,Juno,Pax,basket count mismatch,wait turn,True,True,False,True,0.59,0.594,True
48,3,canvas-session-001,lichen_bridge,tension peg,Luma,Rin,tension keeper objects,use spare,True,True,False,True,0.599,0.603,True
49,3,canvas-session-001,orchid_engine,gear brush,Dax,Eli,gear lane blocked,defer task,True,True,False,True,0.603,0.607,True
50,3,canvas-session-001,moss_ward,ledger awl,Tala,Ari,unsafe handoff,resident leads,True,True,False,True,0.599,0.603,True
51,3,canvas-session-001,glass_harbor,wick clamp,Nia,Oren,lamp keeper objects,ask first,True,True,False,True,0.599,0.601,True
52,3,canvas-session-001,cinder_garden,basket hook,Pax,Vale,heat makes tool unsafe,wait turn,True,True,False,True,0.599,0.603,True
53,3,canvas-session-001,lichen_bridge,ledger punch,Rin,Sol,meal token reserved,use spare,True,True,False,True,0.601,0.605,True
54,4,canvas-session-001,moss_ward,ledger awl,Fay,Milo,tool was promised,wait turn,True,True,False,True,0.605,0.607,True
55,4,canvas-session-001,glass_harbor,wick clamp,Puck,Sera,borrow token missing,use spare,True,True,False,True,0.605,0.609,True
56,4,canvas-session-001,cinder_garden,basket hook,Wren,Juno,seed caller has claim,defer task,True,True,False,True,0.603,0.607,True
57,4,canvas-session-001,lichen_bridge,ledger punch,Kio,Luma,signal order unclear,resident leads,True,True,False,True,0.605,0.609,True
58,4,canvas-session-001,orchid_engine,valve key,Cai,Dax,orchid rest period,ask first,True,True,False,True,0.602,0.606,True
59,4,canvas-session-001,moss_ward,loom hook,Milo,Tala,owner still using it,wait turn,True,True,False,True,0.602,0.604,True
60,4,canvas-session-001,glass_harbor,rope gauge,Sera,Nia,net lane crowded,use spare,True,True,False,True,0.596,0.6,True
61,4,canvas-session-001,cinder_garden,shade mallet,Juno,Pax,basket count mismatch,defer task,True,True,False,True,0.594,0.598,True
62,4,canvas-session-001,lichen_bridge,bell file,Luma,Rin,tension keeper objects,resident leads,True,True,False,True,0.603,0.607,True
63,4,canvas-session-001,orchid_engine,lamp tongs,Dax,Eli,gear lane blocked,ask first,True,True,False,True,0.607,0.611,True
64,4,canvas-session-001,moss_ward,reed knife,Tala,Ari,unsafe handoff,wait turn,True,True,False,True,0.603,0.605,True
65,4,canvas-session-001,glass_harbor,net shuttle,Nia,Oren,lamp keeper objects,use spare,True,True,False,True,0.601,0.605,True
66,4,canvas-session-001,cinder_garden,calendar stylus,Pax,Vale,heat makes tool unsafe,defer task,True,True,False,True,0.603,0.607,True
67,4,canvas-session-001,lichen_bridge,tension peg,Rin,Sol,meal token reserved,resident leads,True,True,False,True,0.605,0.609,True
68,4,canvas-session-001,orchid_engine,gear brush,Eli,Bea,valve keeper refuses,ask first,True,True,False,True,0.601,0.605,True
69,4,canvas-session-001,moss_ward,ledger awl,Ari,Fay,tool was promised,wait turn,True,True,False,True,0.603,0.605,True
70,4,canvas-session-001,glass_harbor,wick clamp,Oren,Puck,borrow token missing,use spare,True,True,False,True,0.605,0.609,True
71,4,canvas-session-001,cinder_garden,basket hook,Vale,Wren,seed caller has claim,defer task,True,True,False,True,0.608,0.612,True
72,5,canvas-session-001,orchid_engine,gear brush,Cai,Dax,orchid rest period,use spare,True,True,False,True,0.609,0.611,True
73,5,canvas-session-001,moss_ward,ledger awl,Milo,Tala,owner still using it,defer task,True,True,False,True,0.609,0.613,True
74,5,canvas-session-001,glass_harbor,wick clamp,Sera,Nia,net lane crowded,resident leads,True,True,False,True,0.605,0.609,True
75,5,canvas-session-001,cinder_garden,basket hook,Juno,Pax,basket count mismatch,ask first,True,True,False,True,0.603,0.607,True
76,5,canvas-session-001,lichen_bridge,ledger punch,Luma,Rin,tension keeper objects,wait turn,True,True,False,True,0.612,0.616,True
77,5,canvas-session-001,orchid_engine,valve key,Dax,Eli,gear lane blocked,use spare,True,True,False,True,0.616,0.618,True
78,5,canvas-session-001,moss_ward,loom hook,Tala,Ari,unsafe handoff,defer task,True,True,False,True,0.61,0.614,True
79,5,canvas-session-001,glass_harbor,rope gauge,Nia,Oren,lamp keeper objects,resident leads,True,True,False,True,0.608,0.612,True
80,5,canvas-session-001,cinder_garden,shade mallet,Pax,Vale,heat makes tool unsafe,ask first,True,True,False,True,0.612,0.616,True
81,5,canvas-session-001,lichen_bridge,bell file,Rin,Sol,meal token reserved,wait turn,True,True,False,True,0.609,0.613,True
82,5,canvas-session-001,orchid_engine,lamp tongs,Eli,Bea,valve keeper refuses,use spare,True,True,False,True,0.605,0.607,True
83,5,canvas-session-001,moss_ward,reed knife,Ari,Fay,tool was promised,defer task,True,True,False,True,0.605,0.609,True
84,5,canvas-session-001,glass_harbor,net shuttle,Oren,Puck,borrow token missing,resident leads,True,True,False,True,0.609,0.613,True
85,5,canvas-session-001,cinder_garden,calendar stylus,Vale,Wren,seed caller has claim,ask first,True,True,False,True,0.612,0.616,True
86,5,canvas-session-001,lichen_bridge,tension peg,Sol,Kio,signal order unclear,wait turn,True,True,False,True,0.61,0.614,True
87,5,canvas-session-001,orchid_engine,gear brush,Bea,Cai,orchid rest period,use spare,True,True,False,True,0.61,0.612,True
88,5,canvas-session-001,moss_ward,ledger awl,Fay,Milo,owner still using it,defer task,True,True,False,True,0.612,0.616,True
89,5,canvas-session-001,glass_harbor,wick clamp,Puck,Sera,net lane crowded,resident leads,True,True,False,True,0.614,0.618,True
90,6,canvas-session-001,lichen_bridge,tension peg,Luma,Rin,tension keeper objects,defer task,True,True,False,True,0.621,0.623,True
91,6,canvas-session-001,orchid_engine,gear brush,Dax,Eli,gear lane blocked,resident leads,True,True,False,True,0.621,0.625,True
92,6,canvas-session-001,moss_ward,ledger awl,Tala,Ari,unsafe handoff,ask first,True,True,False,True,0.619,0.623,True
93,6,canvas-session-001,glass_harbor,wick clamp,Nia,Oren,lamp keeper objects,wait turn,True,True,False,True,0.617,0.621,True
94,6,canvas-session-001,cinder_garden,basket hook,Pax,Vale,heat makes tool unsafe,use spare,True,True,False,True,0.621,0.625,True
95,6,canvas-session-001,lichen_bridge,ledger punch,Rin,Sol,meal token reserved,defer task,True,True,False,True,0.623,0.625,True
96,6,canvas-session-001,orchid_engine,valve key,Eli,Bea,valve keeper refuses,resident leads,True,True,False,True,0.615,0.619,True
97,6,canvas-session-001,moss_ward,loom hook,Ari,Fay,tool was promised,ask first,True,True,False,True,0.619,0.623,True
98,6,canvas-session-001,glass_harbor,rope gauge,Oren,Puck,borrow token missing,wait turn,True,True,False,True,0.621,0.625,True
99,6,canvas-session-001,cinder_garden,shade mallet,Vale,Wren,seed caller has claim,use spare,True,True,False,True,0.626,0.63,True
100,6,canvas-session-001,lichen_bridge,bell file,Sol,Kio,signal order unclear,defer task,True,True,False,True,0.624,0.626,True
101,6,canvas-session-001,orchid_engine,lamp tongs,Bea,Cai,orchid rest period,resident leads,True,True,False,True,0.622,0.626,True
102,6,canvas-session-001,moss_ward,reed knife,Fay,Milo,owner still using it,ask first,True,True,False,True,0.626,0.63,True
103,6,canvas-session-001,glass_harbor,net shuttle,Puck,Sera,net lane crowded,wait turn,True,True,False,True,0.626,0.63,True
104,6,canvas-session-001,cinder_garden,calendar stylus,Wren,Juno,basket count mismatch,use spare,True,True,False,True,0.617,0.621,True
105,6,canvas-session-001,lichen_bridge,tension peg,Kio,Luma,tension keeper objects,defer task,True,True,False,True,0.619,0.621,True
106,6,canvas-session-001,orchid_engine,gear brush,Cai,Dax,gear lane blocked,resident leads,True,True,False,True,0.621,0.625,True
107,6,canvas-session-001,moss_ward,ledger awl,Milo,Tala,unsafe handoff,ask first,True,True,False,True,0.623,0.627,True
108,7,canvas-session-002,cinder_garden,calendar stylus,Pax,Vale,heat makes tool unsafe,resident leads,True,True,False,True,0.625,0.627,True
109,7,canvas-session-002,lichen_bridge,tension peg,Rin,Sol,meal token reserved,ask first,True,True,False,True,0.625,0.629,True
110,7,canvas-session-002,orchid_engine,gear brush,Eli,Bea,valve keeper refuses,wait turn,True,True,False,True,0.619,0.623,True
111,7,canvas-session-002,moss_ward,ledger awl,Ari,Fay,tool was promised,use spare,True,True,False,True,0.623,0.627,True
112,7,canvas-session-002,glass_harbor,wick clamp,Oren,Puck,borrow token missing,defer task,True,True,False,True,0.625,0.629,True
113,7,canvas-session-002,cinder_garden,basket hook,Vale,Wren,seed caller has claim,resident leads,True,True,False,True,0.63,0.632,True
114,7,canvas-session-002,lichen_bridge,ledger punch,Sol,Kio,signal order unclear,ask first,True,True,False,True,0.626,0.63,True
115,7,canvas-session-002,orchid_engine,valve key,Bea,Cai,orchid rest period,wait turn,True,True,False,True,0.626,0.63,True
116,7,canvas-session-002,moss_ward,loom hook,Fay,Milo,owner still using it,use spare,True,True,False,True,0.63,0.634,True
117,7,canvas-session-002,glass_harbor,rope gauge,Puck,Sera,net lane crowded,defer task,True,True,False,True,0.63,0.634,True
118,7,canvas-session-002,cinder_garden,shade mallet,Wren,Juno,basket count mismatch,resident leads,True,True,False,True,0.626,0.628,True
119,7,canvas-session-002,lichen_bridge,bell file,Kio,Luma,tension keeper objects,ask first,True,True,False,True,0.626,0.63,True
120,7,canvas-session-002,orchid_engine,lamp tongs,Cai,Dax,gear lane blocked,wait turn,True,True,False,True,0.63,0.634,True
121,7,canvas-session-002,moss_ward,reed knife,Milo,Tala,unsafe handoff,use spare,True,True,False,True,0.632,0.636,True
122,7,canvas-session-002,glass_harbor,net shuttle,Sera,Nia,lamp keeper objects,defer task,True,True,False,True,0.622,0.626,True
123,7,canvas-session-002,cinder_garden,calendar stylus,Juno,Pax,heat makes tool unsafe,resident leads,True,True,False,True,0.622,0.624,True
124,7,canvas-session-002,lichen_bridge,tension peg,Luma,Rin,meal token reserved,ask first,True,True,False,True,0.631,0.635,True
