tick_id,day,settlement_id,snapshot_key,scene_state_key,inventory_count,conversation_turn_count,animation_count,trust_repair_count,checksum,restored_scene_visible,restored_inventory_visible,restored_conversation_visible,restored_animation_visible,restored_trust_repair_visible,replay_exportable
0,1,riverbend,ssrm.v44.snapshot.riverbend.1.0,v44-713470,0,1,3,1,v44-013374,True,True,True,True,True,True
17,1,repair_ring,ssrm.v44.snapshot.repair_ring.1.17,v44-832101,0,3,9,0,v44-124018,True,True,True,True,True,True
18,2,roofward,ssrm.v44.snapshot.roofward.2.0,v44-758283,0,4,12,1,v44-025294,True,True,True,True,True,True
35,2,riverbend,ssrm.v44.snapshot.riverbend.2.17,v44-771868,0,6,18,3,v44-069471,True,True,True,True,True,True
36,3,archive,ssrm.v44.snapshot.archive.3.0,v44-698509,0,7,21,0,v44-974660,True,True,True,True,True,True
37,3,signal,ssrm.v44.snapshot.signal.3.1,v44-435327,0,7,21,2,v44-929282,True,True,True,True,True,True
53,3,roofward,ssrm.v44.snapshot.roofward.3.17,v44-782617,0,9,27,3,v44-029552,True,True,True,True,True,True
54,4,signal,ssrm.v44.snapshot.signal.4.0,v44-408100,0,10,30,3,v44-942714,True,True,True,True,True,True
71,4,archive,ssrm.v44.snapshot.archive.4.17,v44-695460,0,12,36,0,v44-992720,True,True,True,True,True,True
72,5,orchard,ssrm.v44.snapshot.orchard.5.0,v44-744429,0,13,39,4,v44-996865,True,True,True,True,True,True
74,5,riverbend,ssrm.v44.snapshot.riverbend.5.2,v44-618033,0,13,39,5,v44-085944,True,True,True,True,True,True
89,5,signal,ssrm.v44.snapshot.signal.5.17,v44-438480,0,15,45,5,v44-957127,True,True,True,True,True,True
90,6,repair_ring,ssrm.v44.snapshot.repair_ring.6.0,v44-835597,0,16,48,0,v44-177866,True,True,True,True,True,True
107,6,orchard,ssrm.v44.snapshot.orchard.6.17,v44-773218,0,18,54,7,v44-018457,True,True,True,True,True,True
108,7,riverbend,ssrm.v44.snapshot.riverbend.7.0,v44-636166,0,19,57,7,v44-112243,True,True,True,True,True,True
111,7,signal,ssrm.v44.snapshot.signal.7.3,v44-601306,0,19,57,7,v44-971478,True,True,True,True,True,True
125,7,repair_ring,ssrm.v44.snapshot.repair_ring.7.17,v44-910209,0,21,63,1,v44-189166,True,True,True,True,True,True
126,8,roofward,ssrm.v44.snapshot.roofward.8.0,v44-823352,0,22,66,7,v44-068839,True,True,True,True,True,True
143,8,riverbend,ssrm.v44.snapshot.riverbend.8.17,v44-746463,0,24,72,9,v44-110535,True,True,True,True,True,True
144,9,archive,ssrm.v44.snapshot.archive.9.0,v44-715549,0,25,75,0,v44-017218,True,True,True,True,True,True
148,9,riverbend,ssrm.v44.snapshot.riverbend.9.4,v44-752039,0,25,75,10,v44-129872,True,True,True,True,True,True
161,9,roofward,ssrm.v44.snapshot.roofward.9.17,v44-825235,0,27,81,10,v44-088168,True,True,True,True,True,True
162,10,signal,ssrm.v44.snapshot.signal.10.0,v44-602373,0,28,84,11,v44-994347,True,True,True,True,True,True
179,10,archive,ssrm.v44.snapshot.archive.10.17,v44-773734,0,30,90,1,v44-017877,True,True,True,True,True,True
180,11,orchard,ssrm.v44.snapshot.orchard.11.0,v44-751050,0,31,93,16,v44-034481,True,True,True,True,True,True
185,11,signal,ssrm.v44.snapshot.signal.11.5,v44-444528,0,31,93,11,v44-996295,True,True,True,True,True,True
197,11,signal,ssrm.v44.snapshot.signal.11.17,v44-449667,0,33,99,12,v44-004994,True,True,True,True,True,True
198,12,repair_ring,ssrm.v44.snapshot.repair_ring.12.0,v44-869485,0,34,102,5,v44-222747,True,True,True,True,True,True
215,12,orchard,ssrm.v44.snapshot.orchard.12.17,v44-768419,0,36,108,18,v44-063438,True,True,True,True,True,True
216,13,riverbend,ssrm.v44.snapshot.riverbend.13.0,v44-573154,0,37,111,15,v44-148157,True,True,True,True,True,True
222,13,riverbend,ssrm.v44.snapshot.riverbend.13.6,v44-572386,0,38,114,15,v44-151140,True,True,True,True,True,True
233,13,repair_ring,ssrm.v44.snapshot.repair_ring.13.17,v44-954046,0,39,117,7,v44-219261,True,True,True,True,True,True
234,14,roofward,ssrm.v44.snapshot.roofward.14.0,v44-821272,0,40,120,19,v44-107223,True,True,True,True,True,True
251,14,riverbend,ssrm.v44.snapshot.riverbend.14.17,v44-190491,1,42,126,17,v44-748207,True,True,True,True,True,True
252,15,archive,ssrm.v44.snapshot.archive.15.0,v44-724185,0,43,129,5,v44-038295,True,True,True,True,True,True
259,15,signal,ssrm.v44.snapshot.signal.15.7,v44-093775,1,44,132,16,v44-525090,True,True,True,True,True,True
