scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_survival_fraction,mean_resources_collected,mean_repairs_received,mean_hazards_avoided,mean_exploitation_events,mean_deception_events,mean_cooperation_events,mean_signal_events,mean_name_events,mean_gossip_events,mean_checkin_events,mean_babble_events,mean_communication_cost,mean_identity_accuracy,mean_trust_cluster_score,mean_future_option_score
0,visible_solo_control,visible resources with no social information advantage,no_comm_baseline,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,selected_full_access,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,selected_signal_ablation,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,selected_name_ablation,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,selected_gossip_ablation,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,selected_checkin_ablation,no_comm_baseline,145.54,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
0,visible_solo_control,visible resources with no social information advantage,babble_control,babble_control,92.068,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.152,0.0,0.0,0.2899999999999999
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,no_comm_baseline,no_comm_baseline,7.385,1.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,selected_full_access,costly_signal_only,108.16799999999999,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.272,0.0,0.0,0.5800000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,selected_signal_ablation,costly_signal_only,6.101666666666666,1.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,selected_name_ablation,costly_signal_only,108.16799999999999,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.272,0.0,0.0,0.5800000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,selected_gossip_ablation,costly_signal_only,108.16799999999999,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.272,0.0,0.0,0.5800000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,selected_checkin_ablation,costly_signal_only,108.16799999999999,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.272,0.0,0.0,0.5800000000000001
1,costly_warning_signal,one agent knows the hazard/resource route and a warning is cheaper than rediscovery,babble_control,babble_control,89.64,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,21.36,0.0,0.0,0.5
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",no_comm_baseline,no_comm_baseline,14.84,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.24475000000000005,0.38
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",selected_full_access,identity_label_memory,106.98,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.72,0.712,0.5700000000000001,0.65
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",selected_signal_ablation,identity_label_memory,106.98,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.72,0.712,0.5700000000000001,0.65
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",selected_name_ablation,identity_label_memory,14.84,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.24475000000000005,0.38
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",selected_gossip_ablation,identity_label_memory,106.98,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.72,0.712,0.5700000000000001,0.65
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",selected_checkin_ablation,identity_label_memory,106.98,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.72,0.712,0.5700000000000001,0.65
2,persistent_identity_names,"helpers and opportunists recur, making identity labels useful compression for history",babble_control,babble_control,38.51200000000001,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,20.128,0.732,0.62,0.4799999999999999
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,no_comm_baseline,no_comm_baseline,-11.56,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.28
3,absent_agent_gossip,information about absent deceivers and caches improves later route choices,selected_full_access,gossip_with_names,100.87999999999998,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.280000000000001,0.7080000000000001,0.0,0.62
