seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_cost,tool_wear,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36217,36217-RCL-01,36217-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,smoke-bound/quiet-doubt schedule conflict practice,10,9,True,none,resource use,False
36217,36217-RCL-02,36217-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,smoke-bound/quiet-doubt material shortage practice,9,9,True,none,resource use,False
36217,36217-RCL-03,36217-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,smoke-bound/quiet-doubt safety limit practice,8,7,True,none,safety caution,False
36217,36217-RCL-04,36217-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,smoke-bound/quiet-doubt test time conflict practice,7,6,True,none,resource use,False
36217,36217-RCL-05,36217-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,smoke-bound/quiet-doubt schedule conflict practice,6,5,True,smoke-bound/quiet-doubt schedule conflict practice,resource use,False
36217,36217-RCL-06,36217-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,smoke-bound/quiet-doubt schedule conflict practice,5,4,True,smoke-bound/quiet-doubt schedule conflict practice,resource use,False
36217,36217-RCL-07,36217-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,smoke-bound/quiet-doubt schedule conflict practice,4,3,True,smoke-bound/quiet-doubt schedule conflict practice,resource use,False
36231,36231-RCL-01,36231-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,missing-repeat/quiet-doubt schedule conflict practice,10,9,True,none,resource use,False
36231,36231-RCL-02,36231-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,missing-repeat/quiet-doubt material shortage practice,9,9,True,none,resource use,False
36231,36231-RCL-03,36231-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,missing-repeat/quiet-doubt safety limit practice,8,7,True,none,safety caution,False
36231,36231-RCL-04,36231-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,missing-repeat/quiet-doubt test time conflict practice,7,6,True,none,resource use,False
36231,36231-RCL-05,36231-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,missing-repeat/quiet-doubt schedule conflict practice,6,5,True,missing-repeat/quiet-doubt schedule conflict practice,resource use,False
36231,36231-RCL-06,36231-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,missing-repeat/quiet-doubt schedule conflict practice,5,4,True,missing-repeat/quiet-doubt schedule conflict practice,resource use,False
36231,36231-RCL-07,36231-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,missing-repeat/quiet-doubt schedule conflict practice,4,3,True,missing-repeat/quiet-doubt schedule conflict practice,resource use,False
36247,36247-RCL-01,36247-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,grain pull/water-hush schedule conflict practice,10,9,True,none,resource use,False
36247,36247-RCL-02,36247-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,grain pull/water-hush material shortage practice,9,9,True,none,resource use,False
36247,36247-RCL-03,36247-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,grain pull/water-hush safety limit practice,8,7,True,none,safety caution,False
36247,36247-RCL-04,36247-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,grain pull/water-hush test time conflict practice,7,6,True,none,resource use,False
36247,36247-RCL-05,36247-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,grain pull/water-hush schedule conflict practice,6,5,True,grain pull/water-hush schedule conflict practice,resource use,False
36247,36247-RCL-06,36247-PDT-06,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for safety_limit,grain pull/water-hush safety limit practice,5,4,True,grain pull/water-hush safety limit practice,resource use,False
36247,36247-RCL-07,36247-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,grain pull/water-hush schedule conflict practice,4,3,True,grain pull/water-hush schedule conflict practice,resource use,False
36263,36263-RCL-01,36263-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,quiet sting/quiet-doubt schedule conflict practice,10,9,True,none,resource use,False
36263,36263-RCL-02,36263-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,quiet sting/quiet-doubt material shortage practice,9,9,True,none,resource use,False
36263,36263-RCL-03,36263-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,quiet sting/quiet-doubt safety limit practice,8,7,True,none,safety caution,False
36263,36263-RCL-04,36263-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,quiet sting/quiet-doubt test time conflict practice,7,6,True,none,resource use,False
36263,36263-RCL-05,36263-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,quiet sting/quiet-doubt schedule conflict practice,6,5,True,quiet sting/quiet-doubt schedule conflict practice,resource use,False
36263,36263-RCL-06,36263-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,quiet sting/quiet-doubt schedule conflict practice,5,4,True,quiet sting/quiet-doubt schedule conflict practice,resource use,False
36263,36263-RCL-07,36263-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,quiet sting/quiet-doubt schedule conflict practice,4,3,True,quiet sting/quiet-doubt schedule conflict practice,resource use,False
36281,36281-RCL-01,36281-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,edge-shame/quiet-doubt schedule conflict practice,10,9,True,none,resource use,False
36281,36281-RCL-02,36281-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,edge-shame/quiet-doubt material shortage practice,9,9,True,none,resource use,False
36281,36281-RCL-03,36281-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,edge-shame/quiet-doubt safety limit practice,8,7,True,none,safety caution,False
36281,36281-RCL-04,36281-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,edge-shame/quiet-doubt test time conflict practice,7,6,True,none,resource use,False
36281,36281-RCL-05,36281-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,edge-shame/quiet-doubt schedule conflict practice,6,5,True,edge-shame/quiet-doubt schedule conflict practice,resource use,False
36281,36281-RCL-06,36281-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,edge-shame/quiet-doubt schedule conflict practice,5,4,True,edge-shame/quiet-doubt schedule conflict practice,resource use,False
36281,36281-RCL-07,36281-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,edge-shame/quiet-doubt schedule conflict practice,4,3,True,edge-shame/quiet-doubt schedule conflict practice,resource use,False
36307,36307-RCL-01,36307-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,safe-gap/half-sign schedule conflict practice,10,9,True,none,resource use,False
36307,36307-RCL-02,36307-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,safe-gap/half-sign material shortage practice,9,9,True,none,resource use,False
36307,36307-RCL-03,36307-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,safe-gap/half-sign safety limit practice,8,7,True,none,safety caution,False
36307,36307-RCL-04,36307-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,safe-gap/half-sign test time conflict practice,7,6,True,none,resource use,False
36307,36307-RCL-05,36307-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,safe-gap/half-sign schedule conflict practice,6,5,True,safe-gap/half-sign schedule conflict practice,resource use,False
36307,36307-RCL-06,36307-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,safe-gap/half-sign schedule conflict practice,5,4,True,safe-gap/half-sign schedule conflict practice,resource use,False
36307,36307-RCL-07,36307-PDT-07,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,safe-gap/half-sign schedule conflict practice,4,3,True,safe-gap/half-sign schedule conflict practice,resource use,False
36319,36319-RCL-01,36319-PDT-01,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,fiber-rise/edge-shame schedule conflict practice,10,9,True,none,resource use,False
36319,36319-RCL-02,36319-PDT-02,iron_sand+dry_resin,materials handled in test,1,2,1,1,audit_only_material_law,repeatable workaround for material_shortage,fiber-rise/edge-shame material shortage practice,9,9,True,none,resource use,False
36319,36319-RCL-03,36319-PDT-03,reed_fiber+wet_wood,materials handled in test,1,1,0,1,audit_only_material_law,paused for safety boundary,fiber-rise/edge-shame safety limit practice,8,7,True,none,safety caution,False
36319,36319-RCL-04,36319-PDT-04,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for test_time_conflict,fiber-rise/edge-shame test time conflict practice,7,6,True,none,resource use,False
36319,36319-RCL-05,36319-PDT-05,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,fiber-rise/edge-shame schedule conflict practice,6,5,True,fiber-rise/edge-shame schedule conflict practice,resource use,False
36319,36319-RCL-06,36319-PDT-06,reed_fiber+dry_resin,materials handled in test,1,1,0,1,audit_only_material_law,repeatable workaround for schedule_conflict,fiber-rise/edge-shame schedule conflict practice,5,4,True,fiber-rise/edge-shame schedule conflict practice,resource use,False
