tick_id,day,session_id,settlement_id,resident_id,phrase,prior_memory,visible_consequence,trust_before,trust_after,proximity_before,proximity_after,consequence_saved,reply_bounded_to_phrasebook,no_autonomous_language_claim,no_llm_call
0,1,canvas-session-001,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.582,0.585,0.44,0.444,True,True,True,True
1,1,canvas-session-001,orchid_engine,Dax,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.584,0.589,0.44,0.444,True,True,True,True
2,1,canvas-session-001,moss_ward,Tala,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.584,0.589,0.44,0.446,True,True,True,True
3,1,canvas-session-001,glass_harbor,Nia,tea first,prior:tea first:canvas-session-001,lets avatar carry small part,0.584,0.589,0.44,0.444,True,True,True,True
4,1,canvas-session-001,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.584,0.589,0.44,0.444,True,True,True,True
5,1,canvas-session-001,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.582,0.587,0.44,0.444,True,True,True,True
6,1,canvas-session-001,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.584,0.589,0.44,0.444,True,True,True,True
7,1,canvas-session-001,moss_ward,Ari,path dry,prior:path dry:canvas-session-001,shares safer route,0.584,0.589,0.44,0.444,True,True,True,True
8,1,canvas-session-001,glass_harbor,Oren,net keeper,prior:net keeper:canvas-session-001,faces avatar longer,0.584,0.589,0.44,0.444,True,True,True,True
9,1,canvas-session-001,cinder_garden,Vale,cool hand,prior:cool hand:canvas-session-001,accepts slow handoff,0.584,0.589,0.44,0.444,True,True,True,True
10,1,canvas-session-001,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-001,shares a bowl marker,0.582,0.587,0.44,0.444,True,True,True,True
11,1,canvas-session-001,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-001,waits without flinch,0.584,0.589,0.44,0.444,True,True,True,True
12,1,canvas-session-001,moss_ward,Fay,ledger no touch,prior:ledger no touch:canvas-session-001,keeps respectful distance,0.584,0.589,0.44,0.444,True,True,True,True
13,1,canvas-session-001,glass_harbor,Puck,lamp bright,prior:lamp bright:canvas-session-001,warns before fog,0.584,0.589,0.44,0.444,True,True,True,True
14,1,canvas-session-001,cinder_garden,Wren,shade first,prior:shade first:canvas-session-001,moves closer to shade,0.584,0.587,0.44,0.444,True,True,True,True
15,1,canvas-session-001,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-001,offers spare knot,0.582,0.587,0.44,0.444,True,True,True,True
16,1,canvas-session-001,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-001,keeps valve boundary,0.584,0.589,0.44,0.444,True,True,True,True
17,1,canvas-session-001,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-001,approaches after help,0.584,0.589,0.44,0.446,True,True,True,True
18,2,canvas-session-001,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-001,remembers cooled path,0.589,0.594,0.444,0.448,True,True,True,True
19,2,canvas-session-001,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-001,signals from a distance,0.587,0.592,0.444,0.448,True,True,True,True
20,2,canvas-session-001,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-001,trusts slow repair,0.589,0.594,0.444,0.448,True,True,True,True
