tick_id,day,agent,project_id,public_memory_key,stored_progress,stored_blocker,stored_material_debt,private_workspace_sealed,replay_pointer
0,1,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day1,0.0,none,planks:0.00,true,replay:0:west_bridge_repair
1,1,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day1,0.0,none,water:0.00,true,replay:1:herb_roof_garden
2,1,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day1,0.0,none,wire:0.00,true,replay:2:north_lantern_relay
3,1,Nia,archive_weather_log,v25:Nia:archive_weather_log:day1,0.0,none,ink:0.00,true,replay:3:archive_weather_log
4,1,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day1,0.0,none,resin:0.00,true,replay:4:west_bridge_repair
5,1,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day1,0.02909,none,compost:0.00,true,replay:5:herb_roof_garden
6,1,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day1,0.0,none,oil:0.00,true,replay:6:north_lantern_relay
7,1,Nia,archive_weather_log,v25:Nia:archive_weather_log:day1,0.027794,none,paper:0.00,true,replay:7:archive_weather_log
8,1,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day1,0.0,none,rope:0.00,true,replay:8:west_bridge_repair
9,1,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day1,0.034241,obligation_time_conflict,seed:0.00,true,replay:9:herb_roof_garden
10,1,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day1,0.028373,none,glass:0.00,true,replay:10:north_lantern_relay
11,1,Nia,archive_weather_log,v25:Nia:archive_weather_log:day1,0.027794,none,thread:0.80,true,replay:11:archive_weather_log
12,1,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day1,0.0,none,planks:0.00,true,replay:12:west_bridge_repair
13,1,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day1,0.034241,none,water:0.00,true,replay:13:herb_roof_garden
14,1,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day1,0.028373,none,wire:0.00,true,replay:14:north_lantern_relay
15,1,Nia,archive_weather_log,v25:Nia:archive_weather_log:day1,0.055227,none,ink:0.00,true,replay:15:archive_weather_log
16,1,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day1,0.0,none,resin:0.00,true,replay:16:west_bridge_repair
17,1,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day1,0.034241,none,compost:0.00,true,replay:17:herb_roof_garden
18,2,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day2,0.028373,none,oil:0.00,true,replay:18:north_lantern_relay
19,2,Nia,archive_weather_log,v25:Nia:archive_weather_log:day2,0.055227,none,paper:0.00,true,replay:19:archive_weather_log
20,2,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day2,0.030558,none,rope:0.00,true,replay:20:west_bridge_repair
21,2,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day2,0.034241,none,seed:0.00,true,replay:21:herb_roof_garden
22,2,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day2,0.028373,none,glass:0.00,true,replay:22:north_lantern_relay
23,2,Nia,archive_weather_log,v25:Nia:archive_weather_log:day2,0.055227,none,thread:0.80,true,replay:23:archive_weather_log
24,2,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day2,0.030558,none,planks:0.00,true,replay:24:west_bridge_repair
25,2,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day2,0.063145,none,water:0.00,true,replay:25:herb_roof_garden
26,2,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day2,0.028373,none,wire:0.00,true,replay:26:north_lantern_relay
27,2,Nia,archive_weather_log,v25:Nia:archive_weather_log:day2,0.055227,none,ink:0.00,true,replay:27:archive_weather_log
28,2,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day2,0.030558,none,resin:0.00,true,replay:28:west_bridge_repair
29,2,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day2,0.063145,none,compost:0.00,true,replay:29:herb_roof_garden
30,2,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day2,0.028373,none,oil:0.00,true,replay:30:north_lantern_relay
31,2,Nia,archive_weather_log,v25:Nia:archive_weather_log:day2,0.060239,obligation_time_conflict,paper:0.00,true,replay:31:archive_weather_log
32,2,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day2,0.030558,none,rope:0.00,true,replay:32:west_bridge_repair
33,2,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day2,0.063145,none,seed:0.00,true,replay:33:herb_roof_garden
34,2,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day2,0.028373,none,glass:0.00,true,replay:34:north_lantern_relay
35,2,Nia,archive_weather_log,v25:Nia:archive_weather_log:day2,0.060239,none,thread:0.80,true,replay:35:archive_weather_log
36,3,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day3,0.063145,none,seed:0.00,true,replay:36:herb_roof_garden
37,3,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day3,0.028373,none,glass:0.00,true,replay:37:north_lantern_relay
38,3,Nia,archive_weather_log,v25:Nia:archive_weather_log:day3,0.060239,none,thread:0.80,true,replay:38:archive_weather_log
39,3,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day3,0.061091,none,planks:0.00,true,replay:39:west_bridge_repair
40,3,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day3,0.063145,none,water:0.00,true,replay:40:herb_roof_garden
41,3,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day3,0.028373,none,wire:0.00,true,replay:41:north_lantern_relay
42,3,Nia,archive_weather_log,v25:Nia:archive_weather_log:day3,0.060239,none,ink:0.00,true,replay:42:archive_weather_log
43,3,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day3,0.061091,none,resin:0.00,true,replay:43:west_bridge_repair
44,3,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day3,0.063145,none,compost:0.00,true,replay:44:herb_roof_garden
45,3,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day3,0.058789,none,oil:0.00,true,replay:45:north_lantern_relay
46,3,Nia,archive_weather_log,v25:Nia:archive_weather_log:day3,0.060239,none,paper:0.00,true,replay:46:archive_weather_log
47,3,Ari,west_bridge_repair,v25:Ari:west_bridge_repair:day3,0.061091,none,rope:0.00,true,replay:47:west_bridge_repair
48,3,Fay,herb_roof_garden,v25:Fay:herb_roof_garden:day3,0.063145,none,seed:0.00,true,replay:48:herb_roof_garden
49,3,Milo,north_lantern_relay,v25:Milo:north_lantern_relay:day3,0.058789,none,glass:0.00,true,replay:49:north_lantern_relay
50,3,Nia,archive_weather_log,v25:Nia:archive_weather_log:day3,0.088486,none,thread:0.95,true,replay:50:archive_weather_log
