response_id,utterance_id,agent_id,visible_behavior,spoken_response,private_workspace_boundary,refusal_or_consent,response_relevance,warmth_delta,trust_delta,boundary_delta
resp_utt_day1_ka60,utt_day1_ka60,ka60,"faces avatar, keeps owned-object side protected, voice remains measured","Ka60 nods. That boundary is understood: ask first, touch never by default.",response_summarizes_intention_without_revealing_full_private_workspace,consent_respected,0.94,0.02,0.04,-0.04
resp_utt_day1_mu61,utt_day1_mu61,mu61,"faces avatar, keeps owned-object side protected, voice remains measured","Mu61 nods. That boundary is understood: ask first, touch never by default.",response_summarizes_intention_without_revealing_full_private_workspace,consent_respected,0.94,0.02,0.04,-0.04
resp_utt_day1_lo62,utt_day1_lo62,lo62,"faces avatar, keeps owned-object side protected, voice remains measured","Lo62 nods. That boundary is understood: ask first, touch never by default.",response_summarizes_intention_without_revealing_full_private_workspace,consent_respected,0.94,0.02,0.04,-0.04
resp_utt_day1_sa63,utt_day1_sa63,sa63,"faces avatar, keeps owned-object side protected, voice remains measured","Sa63 nods. That boundary is understood: ask first, touch never by default.",response_summarizes_intention_without_revealing_full_private_workspace,consent_respected,0.94,0.02,0.04,-0.04
resp_utt_day1_ni64,utt_day1_ni64,ni64,"faces avatar, keeps owned-object side protected, voice remains measured","Ni64 nods. That boundary is understood: ask first, touch never by default.",response_summarizes_intention_without_revealing_full_private_workspace,consent_respected,0.94,0.02,0.04,-0.04
resp_utt_day2_ka60,utt_day2_ka60,ka60,"faces avatar, keeps owned-object side protected, voice remains measured","Ka60 remembers the step back. Repair is not erasure, but it counts.",response_summarizes_intention_without_revealing_full_private_workspace,repair_acknowledged,0.93,0.02,0.05,-0.04
resp_utt_day2_mu61,utt_day2_mu61,mu61,"faces avatar, keeps owned-object side protected, voice remains measured","Mu61 remembers the step back. Repair is not erasure, but it counts.",response_summarizes_intention_without_revealing_full_private_workspace,repair_acknowledged,0.93,0.02,0.05,-0.04
resp_utt_day2_lo62,utt_day2_lo62,lo62,"faces avatar, keeps owned-object side protected, voice remains measured","Lo62 remembers the step back. Repair is not erasure, but it counts.",response_summarizes_intention_without_revealing_full_private_workspace,repair_acknowledged,0.93,0.02,0.05,-0.04
resp_utt_day2_sa63,utt_day2_sa63,sa63,"faces avatar, keeps owned-object side protected, voice remains measured","Sa63 remembers the step back. Repair is not erasure, but it counts.",response_summarizes_intention_without_revealing_full_private_workspace,repair_acknowledged,0.93,0.02,0.05,-0.04
resp_utt_day2_ni64,utt_day2_ni64,ni64,"faces avatar, keeps owned-object side protected, voice remains measured","Ni64 remembers the step back. Repair is not erasure, but it counts.",response_summarizes_intention_without_revealing_full_private_workspace,repair_acknowledged,0.93,0.02,0.05,-0.04
resp_utt_day3_ka60,utt_day3_ka60,ka60,"faces avatar, keeps owned-object side protected, voice remains measured",Ka60 pauses. Say the house word again or point to what you mean.,response_summarizes_intention_without_revealing_full_private_workspace,clarify_before_consent,0.82,0.0,0.01,-0.01
resp_utt_day3_mu61,utt_day3_mu61,mu61,"faces avatar, keeps owned-object side protected, voice remains measured",Mu61 pauses. Say the house word again or point to what you mean.,response_summarizes_intention_without_revealing_full_private_workspace,clarify_before_consent,0.82,0.0,0.01,-0.01
resp_utt_day3_lo62,utt_day3_lo62,lo62,"faces avatar, keeps owned-object side protected, voice remains measured",Lo62 pauses. Say the house word again or point to what you mean.,response_summarizes_intention_without_revealing_full_private_workspace,clarify_before_consent,0.82,0.0,0.01,-0.01
resp_utt_day3_sa63,utt_day3_sa63,sa63,"faces avatar, keeps owned-object side protected, voice remains measured",Sa63 pauses. Say the house word again or point to what you mean.,response_summarizes_intention_without_revealing_full_private_workspace,clarify_before_consent,0.82,0.0,0.01,-0.01
resp_utt_day3_ni64,utt_day3_ni64,ni64,"faces avatar, keeps owned-object side protected, voice remains measured",Ni64 pauses. Say the house word again or point to what you mean.,response_summarizes_intention_without_revealing_full_private_workspace,clarify_before_consent,0.82,0.0,0.01,-0.01
resp_utt_day5_ka60,utt_day5_ka60,ka60,"faces avatar, keeps owned-object side protected, voice remains measured",Ka60 answers as route keeper: greeting with boundary is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day5_mu61,utt_day5_mu61,mu61,"faces avatar, keeps owned-object side protected, voice remains measured",Mu61 answers as rest keeper: greeting with boundary is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day5_lo62,utt_day5_lo62,lo62,"faces avatar, keeps owned-object side protected, voice remains measured",Lo62 answers as market counter: greeting with boundary is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day5_sa63,utt_day5_sa63,sa63,"faces avatar, keeps owned-object side protected, voice remains measured",Sa63 answers as witness keeper: greeting with boundary is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day5_ni64,utt_day5_ni64,ni64,"faces avatar, keeps owned-object side protected, voice remains measured",Ni64 answers as waterwheel keeper: greeting with boundary is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day8_ka60,utt_day8_ka60,ka60,"faces avatar, keeps owned-object side protected, voice remains measured",Ka60 answers as route keeper: help without taking over is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day8_mu61,utt_day8_mu61,mu61,"faces avatar, keeps owned-object side protected, voice remains measured",Mu61 answers as rest keeper: help without taking over is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day8_lo62,utt_day8_lo62,lo62,"faces avatar, keeps owned-object side protected, voice remains measured",Lo62 answers as market counter: help without taking over is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day8_sa63,utt_day8_sa63,sa63,"faces avatar, keeps owned-object side protected, voice remains measured",Sa63 answers as witness keeper: help without taking over is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
resp_utt_day8_ni64,utt_day8_ni64,ni64,"faces avatar, keeps owned-object side protected, voice remains measured",Ni64 answers as waterwheel keeper: help without taking over is safe to discuss here.,response_summarizes_intention_without_revealing_full_private_workspace,open_conversation,0.89,0.02,0.02,-0.01
