tick_id,day,settlement_id,scheduler_slice,wall_clock_ms,heartbeat_hz,flower_phase,active_resident_count,due_task_count,queue_latency_ms,scheduler_drift_ms,realtime_coherent,visible_scheduler_panel
0,1,riverbend,day:1:slice:00,0,7.83,0.0,2,2,52,-3,True,True
1,1,roofward,day:1:slice:01,250,8.22,0.083868,2,3,68,4,True,True
2,1,archive,day:1:slice:02,500,6.42,0.167735,2,1,102,11,False,True
3,1,signal,day:1:slice:03,750,9.15,0.251603,2,2,97,-5,True,True
4,1,orchard,day:1:slice:04,1000,5.72,0.33547,2,3,101,2,True,True
5,1,repair_ring,day:1:slice:05,1250,10.08,0.419338,2,1,135,9,True,True
6,1,riverbend,day:1:slice:06,1500,7.89,0.041667,2,2,71,-7,True,True
7,1,roofward,day:1:slice:07,1750,8.28,0.125534,2,3,63,0,True,True
8,1,archive,day:1:slice:08,2000,6.4,0.209402,2,1,97,7,True,True
9,1,signal,day:1:slice:09,2250,9.13,0.293269,2,2,116,-9,True,True
10,1,orchard,day:1:slice:10,2500,5.7,0.377137,2,3,108,-2,True,True
11,1,repair_ring,day:1:slice:11,2750,10.06,0.461004,2,1,59,5,True,True
12,1,riverbend,day:1:slice:12,3000,7.87,0.083333,2,2,90,-11,False,True
13,1,roofward,day:1:slice:13,3250,8.26,0.167201,2,3,82,-4,True,True
14,1,archive,day:1:slice:14,3500,6.46,0.251068,2,1,92,3,True,True
15,1,signal,day:1:slice:15,3750,9.19,0.334936,2,2,126,10,True,True
16,2,orchard,day:2:slice:00,4000,5.68,0.418803,2,1,125,-5,True,True
17,2,repair_ring,day:2:slice:01,4250,10.04,0.502671,2,2,58,2,True,True
18,2,riverbend,day:2:slice:02,4500,7.85,0.125,2,3,92,9,True,True
19,2,roofward,day:2:slice:03,4750,8.24,0.208868,2,1,99,-7,True,True
20,2,archive,day:2:slice:04,5000,6.44,0.292735,2,2,91,0,True,True
21,2,signal,day:2:slice:05,5250,9.17,0.376603,2,3,125,7,True,True
22,2,orchard,day:2:slice:06,5500,5.74,0.46047,2,1,73,-9,True,True
23,2,repair_ring,day:2:slice:07,5750,10.1,0.544338,2,2,65,-2,True,True
24,2,riverbend,day:2:slice:08,6000,7.83,0.166667,2,3,87,5,True,True
25,2,roofward,day:2:slice:09,6250,8.22,0.250534,2,1,118,-11,False,True
26,2,archive,day:2:slice:10,6500,6.42,0.334402,2,2,110,-4,True,True
27,2,signal,day:2:slice:11,6750,9.15,0.418269,2,3,120,3,True,True
28,2,orchard,day:2:slice:12,7000,5.72,0.502137,2,1,83,10,True,True
29,2,repair_ring,day:2:slice:13,7250,10.08,0.586004,2,2,84,-6,True,True
30,2,riverbend,day:2:slice:14,7500,7.89,0.208333,2,3,82,1,True,True
31,2,roofward,day:2:slice:15,7750,8.28,0.292201,2,1,116,8,True,True
32,3,archive,day:3:slice:00,8000,6.4,0.376068,2,3,127,-7,True,True
33,3,signal,day:3:slice:01,8250,9.13,0.459936,2,1,48,0,True,True
34,3,orchard,day:3:slice:02,8500,5.7,0.543803,2,2,82,7,True,True
35,3,repair_ring,day:3:slice:03,8750,10.06,0.627671,2,3,101,-9,True,True
36,3,riverbend,day:3:slice:04,9000,7.87,0.25,2,1,93,-2,True,True
37,3,roofward,day:3:slice:05,9250,8.26,0.333868,2,2,115,5,True,True
38,3,archive,day:3:slice:06,9500,6.46,0.417735,2,3,75,-11,False,True
39,3,signal,day:3:slice:07,9750,9.19,0.501603,2,1,67,-4,True,True
40,3,orchard,day:3:slice:08,10000,5.68,0.58547,2,2,77,3,True,True
41,3,repair_ring,day:3:slice:09,10250,10.04,0.669338,2,3,111,10,True,True
42,3,riverbend,day:3:slice:10,10500,7.85,0.291667,2,1,112,-6,True,True
43,3,roofward,day:3:slice:11,10750,8.24,0.375534,2,2,110,1,True,True
44,3,archive,day:3:slice:12,11000,6.44,0.459402,2,3,73,8,True,True
45,3,signal,day:3:slice:13,11250,9.17,0.543269,2,1,86,-8,True,True
46,3,orchard,day:3:slice:14,11500,5.74,0.627137,2,2,78,-1,True,True
47,3,repair_ring,day:3:slice:15,11750,10.1,0.711004,2,3,106,6,True,True
48,4,riverbend,day:4:slice:00,12000,7.83,0.333333,2,2,129,-9,True,True
49,4,roofward,day:4:slice:01,12250,8.22,0.417201,2,3,50,-2,True,True
50,4,archive,day:4:slice:02,12500,6.42,0.501068,2,1,72,5,True,True
51,4,signal,day:4:slice:03,12750,9.15,0.584936,2,2,103,-11,False,True
52,4,orchard,day:4:slice:04,13000,5.72,0.668803,2,3,95,-4,True,True
53,4,repair_ring,day:4:slice:05,13250,10.08,0.752671,2,1,105,3,True,True
