loop_id,day,tick,phase,world_frame_id,utterance_id,conflict_id,schedule_step_id,memory_id,sensory_id,replay_id,loop_note
loop_free_1_ka60,1,30,seed,world_free_1_ka60,free_1_ka60,conflict_free_1_ka60,sched_free_1_ka60,mem_free_1_ka60,sense_world_free_1_ka60,replay_001,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_1_mu61,1,35,vesica,world_free_1_mu61,free_1_mu61,conflict_free_1_mu61,sched_free_1_mu61,mem_free_1_mu61,sense_world_free_1_mu61,replay_001,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_1_lo62,1,40,triad,world_free_1_lo62,free_1_lo62,conflict_free_1_lo62,sched_free_1_lo62,mem_free_1_lo62,sense_world_free_1_lo62,replay_001,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_1_sa63,1,45,square,world_free_1_sa63,free_1_sa63,conflict_free_1_sa63,sched_free_1_sa63,mem_free_1_sa63,sense_world_free_1_sa63,replay_001,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_1_ni64,1,50,pentad,world_free_1_ni64,free_1_ni64,conflict_free_1_ni64,sched_free_1_ni64,mem_free_1_ni64,sense_world_free_1_ni64,replay_001,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_2_ka60,2,55,hexad,world_free_2_ka60,free_2_ka60,conflict_free_2_ka60,sched_free_2_ka60,mem_free_2_ka60,sense_world_free_2_ka60,replay_021,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_2_mu61,2,60,flower,world_free_2_mu61,free_2_mu61,conflict_free_2_mu61,sched_free_2_mu61,mem_free_2_mu61,sense_world_free_2_mu61,replay_021,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_2_lo62,2,65,fruit,world_free_2_lo62,free_2_lo62,conflict_free_2_lo62,sched_free_2_lo62,mem_free_2_lo62,sense_world_free_2_lo62,replay_021,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_2_sa63,2,70,return,world_free_2_sa63,free_2_sa63,conflict_free_2_sa63,sched_free_2_sa63,mem_free_2_sa63,sense_world_free_2_sa63,replay_021,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_2_ni64,2,75,seed,world_free_2_ni64,free_2_ni64,conflict_free_2_ni64,sched_free_2_ni64,mem_free_2_ni64,sense_world_free_2_ni64,replay_021,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_3_ka60,3,80,vesica,world_free_3_ka60,free_3_ka60,conflict_free_3_ka60,sched_free_3_ka60,mem_free_3_ka60,sense_world_free_3_ka60,replay_041,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_3_mu61,3,85,triad,world_free_3_mu61,free_3_mu61,conflict_free_3_mu61,sched_free_3_mu61,mem_free_3_mu61,sense_world_free_3_mu61,replay_041,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_3_lo62,3,90,square,world_free_3_lo62,free_3_lo62,conflict_free_3_lo62,sched_free_3_lo62,mem_free_3_lo62,sense_world_free_3_lo62,replay_041,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_3_sa63,3,95,pentad,world_free_3_sa63,free_3_sa63,conflict_free_3_sa63,sched_free_3_sa63,mem_free_3_sa63,sense_world_free_3_sa63,replay_041,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_3_ni64,3,100,hexad,world_free_3_ni64,free_3_ni64,conflict_free_3_ni64,sched_free_3_ni64,mem_free_3_ni64,sense_world_free_3_ni64,replay_041,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_5_ka60,5,105,flower,world_free_5_ka60,free_5_ka60,conflict_free_5_ka60,sched_free_5_ka60,mem_free_5_ka60,sense_world_free_5_ka60,replay_061,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_5_mu61,5,110,fruit,world_free_5_mu61,free_5_mu61,conflict_free_5_mu61,sched_free_5_mu61,mem_free_5_mu61,sense_world_free_5_mu61,replay_061,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_5_lo62,5,115,return,world_free_5_lo62,free_5_lo62,conflict_free_5_lo62,sched_free_5_lo62,mem_free_5_lo62,sense_world_free_5_lo62,replay_061,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_5_sa63,5,120,seed,world_free_5_sa63,free_5_sa63,conflict_free_5_sa63,sched_free_5_sa63,mem_free_5_sa63,sense_world_free_5_sa63,replay_061,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_5_ni64,5,125,vesica,world_free_5_ni64,free_5_ni64,conflict_free_5_ni64,sched_free_5_ni64,mem_free_5_ni64,sense_world_free_5_ni64,replay_061,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_8_ka60,8,130,triad,world_free_8_ka60,free_8_ka60,conflict_free_8_ka60,sched_free_8_ka60,mem_free_8_ka60,sense_world_free_8_ka60,replay_081,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
loop_free_8_mu61,8,135,square,world_free_8_mu61,free_8_mu61,conflict_free_8_mu61,sched_free_8_mu61,mem_free_8_mu61,sense_world_free_8_mu61,replay_081,free local text -> localStorage world state -> conflict/schedule/memory/sensory -> replay export
