frame_id,generation,household,learner_id,life_stage,observed_token,practiced_variant,caregiver_scaffold,play_imitation,correction_without_shame,boundary_lesson,learning_confidence,autonomy_preserved
1,1,Hearthnest,Hearthnest-learner-g01-1,child_observation,ori,ori-seed,0.6404,0.566,0.8568,"learn by play, not pressure",0.78272,0.812
1,1,Hearthnest,Hearthnest-learner-g01-2,apprentice_practice,sova,sova-hand,0.7604,0.506,0.8568,you may refuse unsafe imitation,0.81832,0.862
1,1,Hearthnest,Hearthnest-learner-g01-3,adult_transmission,lum,lum-voice,0.8804,0.386,0.8268,"learn by play, not pressure",0.83892,0.912
2,1,Routehall,Routehall-learner-g01-1,child_observation,nari,nari-seed,0.6162,0.566,0.8412,you may refuse unsafe imitation,0.775212,0.81
2,1,Routehall,Routehall-learner-g01-2,apprentice_practice,keth,keth-hand,0.7362,0.506,0.8412,"learn by play, not pressure",0.810812,0.86
2,1,Routehall,Routehall-learner-g01-3,adult_transmission,tek,tek-voice,0.8562,0.386,0.8112,"learn by play, not pressure",0.831412,0.91
3,1,Marketroof,Marketroof-learner-g01-1,child_observation,keth,keth-seed,0.6206,0.566,0.8352,"learn by play, not pressure",0.77534,0.803
3,1,Marketroof,Marketroof-learner-g01-2,apprentice_practice,vonn,vonn-hand,0.7406,0.506,0.8352,you may refuse unsafe imitation,0.81094,0.853
3,1,Marketroof,Marketroof-learner-g01-3,adult_transmission,melo,melo-voice,0.8606,0.386,0.8052,"learn by play, not pressure",0.83154,0.903
4,1,Quietledger,Quietledger-learner-g01-1,child_observation,vonn,vonn-seed,0.6118,0.566,0.8496,you may refuse unsafe imitation,0.77542,0.819
4,1,Quietledger,Quietledger-learner-g01-2,apprentice_practice,sova,sova-hand,0.7318,0.506,0.8496,you may refuse unsafe imitation,0.81102,0.869
4,1,Quietledger,Quietledger-learner-g01-3,adult_transmission,nari,nari-voice,0.8518,0.386,0.8196,you may refuse unsafe imitation,0.83162,0.919
5,1,Orchardring,Orchardring-learner-g01-1,child_observation,melo,melo-seed,0.625,0.566,0.8352,"learn by play, not pressure",0.776308,0.801
5,1,Orchardring,Orchardring-learner-g01-2,apprentice_practice,tek,tek-hand,0.745,0.506,0.8352,"learn by play, not pressure",0.811908,0.851
5,1,Orchardring,Orchardring-learner-g01-3,adult_transmission,lum,lum-voice,0.865,0.386,0.8052,"learn by play, not pressure",0.832508,0.901
6,1,Rainloft,Rainloft-learner-g01-1,child_observation,vonn,vonn-seed,0.614,0.566,0.846,you may refuse unsafe imitation,0.7754,0.815
6,1,Rainloft,Rainloft-learner-g01-2,apprentice_practice,nari,nari-hand,0.734,0.506,0.846,you may refuse unsafe imitation,0.811,0.865
6,1,Rainloft,Rainloft-learner-g01-3,adult_transmission,sova,sova-voice,0.854,0.386,0.816,you may refuse unsafe imitation,0.8316,0.915
7,2,Hearthnest,Hearthnest-learner-g02-1,child_observation,sova,sova-seed,0.6484,0.572,0.8568,you may refuse unsafe imitation,0.78556,0.812
7,2,Hearthnest,Hearthnest-learner-g02-2,apprentice_practice,lum,lum-hand,0.7684,0.512,0.8568,"learn by play, not pressure",0.82116,0.862
7,2,Hearthnest,Hearthnest-learner-g02-3,adult_transmission,ori,ori-voice,0.8884,0.392,0.8268,"learn by play, not pressure",0.84176,0.912
8,2,Routehall,Routehall-learner-g02-1,child_observation,keth,keth-seed,0.6242,0.572,0.8412,"learn by play, not pressure",0.778052,0.81
8,2,Routehall,Routehall-learner-g02-2,apprentice_practice,tek,tek-hand,0.7442,0.512,0.8412,"learn by play, not pressure",0.813652,0.86
8,2,Routehall,Routehall-learner-g02-3,adult_transmission,nari,nari-voice,0.8642,0.392,0.8112,you may refuse unsafe imitation,0.834252,0.91
9,2,Marketroof,Marketroof-learner-g02-1,child_observation,vonn,vonn-seed,0.6286,0.572,0.8352,you may refuse unsafe imitation,0.77818,0.803
9,2,Marketroof,Marketroof-learner-g02-2,apprentice_practice,melo,melo-hand,0.7486,0.512,0.8352,"learn by play, not pressure",0.81378,0.853
9,2,Marketroof,Marketroof-learner-g02-3,adult_transmission,keth,keth-voice,0.8686,0.392,0.8052,"learn by play, not pressure",0.83438,0.903
10,2,Quietledger,Quietledger-learner-g02-1,child_observation,sova,sova-seed,0.6198,0.572,0.8496,you may refuse unsafe imitation,0.77826,0.819
10,2,Quietledger,Quietledger-learner-g02-2,apprentice_practice,nari,nari-hand,0.7398,0.512,0.8496,you may refuse unsafe imitation,0.81386,0.869
10,2,Quietledger,Quietledger-learner-g02-3,adult_transmission,vonn,vonn-voice,0.8598,0.392,0.8196,you may refuse unsafe imitation,0.83446,0.919
11,2,Orchardring,Orchardring-learner-g02-1,child_observation,tek,tek-seed,0.633,0.572,0.8352,"learn by play, not pressure",0.779148,0.801
11,2,Orchardring,Orchardring-learner-g02-2,apprentice_practice,lum,lum-hand,0.753,0.512,0.8352,"learn by play, not pressure",0.814748,0.851
11,2,Orchardring,Orchardring-learner-g02-3,adult_transmission,melo,melo-voice,0.873,0.392,0.8052,"learn by play, not pressure",0.835348,0.901
12,2,Rainloft,Rainloft-learner-g02-1,child_observation,nari,nari-seed,0.622,0.572,0.846,you may refuse unsafe imitation,0.77824,0.815
12,2,Rainloft,Rainloft-learner-g02-2,apprentice_practice,sova,sova-hand,0.742,0.512,0.846,you may refuse unsafe imitation,0.81384,0.865
12,2,Rainloft,Rainloft-learner-g02-3,adult_transmission,vonn,vonn-voice,0.862,0.392,0.816,you may refuse unsafe imitation,0.83444,0.915
13,3,Hearthnest,Hearthnest-learner-g03-1,child_observation,lum,lum-seed,0.6564,0.578,0.8568,"learn by play, not pressure",0.7884,0.812
13,3,Hearthnest,Hearthnest-learner-g03-2,apprentice_practice,ori,ori-hand,0.7764,0.518,0.8568,"learn by play, not pressure",0.824,0.862
13,3,Hearthnest,Hearthnest-learner-g03-3,adult_transmission,sova,sova-voice,0.8964,0.398,0.8268,you may refuse unsafe imitation,0.8446,0.912
14,3,Routehall,Routehall-learner-g03-1,child_observation,tek,tek-seed,0.6322,0.578,0.8412,"learn by play, not pressure",0.780892,0.81
14,3,Routehall,Routehall-learner-g03-2,apprentice_practice,nari,nari-hand,0.7522,0.518,0.8412,you may refuse unsafe imitation,0.816492,0.86
14,3,Routehall,Routehall-learner-g03-3,adult_transmission,keth,keth-voice,0.8722,0.398,0.8112,"learn by play, not pressure",0.837092,0.91
15,3,Marketroof,Marketroof-learner-g03-1,child_observation,melo,melo-seed,0.6366,0.578,0.8352,"learn by play, not pressure",0.78102,0.803
15,3,Marketroof,Marketroof-learner-g03-2,apprentice_practice,keth,keth-hand,0.7566,0.518,0.8352,"learn by play, not pressure",0.81662,0.853
15,3,Marketroof,Marketroof-learner-g03-3,adult_transmission,vonn,vonn-voice,0.8766,0.398,0.8052,you may refuse unsafe imitation,0.83722,0.903
16,3,Quietledger,Quietledger-learner-g03-1,child_observation,nari,nari-seed,0.6278,0.578,0.8496,you may refuse unsafe imitation,0.7811,0.819
16,3,Quietledger,Quietledger-learner-g03-2,apprentice_practice,vonn,vonn-hand,0.7478,0.518,0.8496,you may refuse unsafe imitation,0.8167,0.869
16,3,Quietledger,Quietledger-learner-g03-3,adult_transmission,sova,sova-voice,0.8678,0.398,0.8196,you may refuse unsafe imitation,0.8373,0.919
17,3,Orchardring,Orchardring-learner-g03-1,child_observation,lum,lum-seed,0.641,0.578,0.8352,"learn by play, not pressure",0.781988,0.801
17,3,Orchardring,Orchardring-learner-g03-2,apprentice_practice,melo,melo-hand,0.761,0.518,0.8352,"learn by play, not pressure",0.817588,0.851
17,3,Orchardring,Orchardring-learner-g03-3,adult_transmission,tek,tek-voice,0.881,0.398,0.8052,"learn by play, not pressure",0.838188,0.901
18,3,Rainloft,Rainloft-learner-g03-1,child_observation,sova,sova-seed,0.63,0.578,0.846,you may refuse unsafe imitation,0.78108,0.815
18,3,Rainloft,Rainloft-learner-g03-2,apprentice_practice,vonn,vonn-hand,0.75,0.518,0.846,you may refuse unsafe imitation,0.81668,0.865
18,3,Rainloft,Rainloft-learner-g03-3,adult_transmission,nari,nari-voice,0.87,0.398,0.816,you may refuse unsafe imitation,0.83728,0.915
19,4,Hearthnest,Hearthnest-learner-g04-1,child_observation,ori,ori-seed,0.6644,0.584,0.8568,"learn by play, not pressure",0.79124,0.812
19,4,Hearthnest,Hearthnest-learner-g04-2,apprentice_practice,sova,sova-hand,0.7844,0.524,0.8568,you may refuse unsafe imitation,0.82684,0.862
19,4,Hearthnest,Hearthnest-learner-g04-3,adult_transmission,lum,lum-voice,0.9044,0.404,0.8268,"learn by play, not pressure",0.84744,0.912
20,4,Routehall,Routehall-learner-g04-1,child_observation,nari,nari-seed,0.6402,0.584,0.8412,you may refuse unsafe imitation,0.783732,0.81
20,4,Routehall,Routehall-learner-g04-2,apprentice_practice,keth,keth-hand,0.7602,0.524,0.8412,"learn by play, not pressure",0.819332,0.86
20,4,Routehall,Routehall-learner-g04-3,adult_transmission,tek,tek-voice,0.8802,0.404,0.8112,"learn by play, not pressure",0.839932,0.91
21,4,Marketroof,Marketroof-learner-g04-1,child_observation,keth,keth-seed,0.6446,0.584,0.8352,"learn by play, not pressure",0.78386,0.803
21,4,Marketroof,Marketroof-learner-g04-2,apprentice_practice,vonn,vonn-hand,0.7646,0.524,0.8352,you may refuse unsafe imitation,0.81946,0.853
21,4,Marketroof,Marketroof-learner-g04-3,adult_transmission,melo,melo-voice,0.8846,0.404,0.8052,"learn by play, not pressure",0.84006,0.903
22,4,Quietledger,Quietledger-learner-g04-1,child_observation,vonn,vonn-seed,0.6358,0.584,0.8496,you may refuse unsafe imitation,0.78394,0.819
22,4,Quietledger,Quietledger-learner-g04-2,apprentice_practice,sova,sova-hand,0.7558,0.524,0.8496,you may refuse unsafe imitation,0.81954,0.869
22,4,Quietledger,Quietledger-learner-g04-3,adult_transmission,nari,nari-voice,0.8758,0.404,0.8196,you may refuse unsafe imitation,0.84014,0.919
23,4,Orchardring,Orchardring-learner-g04-1,child_observation,melo,melo-seed,0.649,0.584,0.8352,"learn by play, not pressure",0.784828,0.801
23,4,Orchardring,Orchardring-learner-g04-2,apprentice_practice,tek,tek-hand,0.769,0.524,0.8352,"learn by play, not pressure",0.820428,0.851
23,4,Orchardring,Orchardring-learner-g04-3,adult_transmission,lum,lum-voice,0.889,0.404,0.8052,"learn by play, not pressure",0.841028,0.901
24,4,Rainloft,Rainloft-learner-g04-1,child_observation,vonn,vonn-seed,0.638,0.584,0.846,you may refuse unsafe imitation,0.78392,0.815
24,4,Rainloft,Rainloft-learner-g04-2,apprentice_practice,nari,nari-hand,0.758,0.524,0.846,you may refuse unsafe imitation,0.81952,0.865
24,4,Rainloft,Rainloft-learner-g04-3,adult_transmission,sova,sova-voice,0.878,0.404,0.816,you may refuse unsafe imitation,0.84012,0.915
25,5,Hearthnest,Hearthnest-learner-g05-1,child_observation,sova,sova-seed,0.6724,0.59,0.8568,you may refuse unsafe imitation,0.79408,0.812
25,5,Hearthnest,Hearthnest-learner-g05-2,apprentice_practice,lum,lum-hand,0.7924,0.53,0.8568,"learn by play, not pressure",0.82968,0.862
25,5,Hearthnest,Hearthnest-learner-g05-3,adult_transmission,ori,ori-voice,0.9124,0.41,0.8268,"learn by play, not pressure",0.85028,0.912
26,5,Routehall,Routehall-learner-g05-1,child_observation,keth,keth-seed,0.6482,0.59,0.8412,"learn by play, not pressure",0.786572,0.81
26,5,Routehall,Routehall-learner-g05-2,apprentice_practice,tek,tek-hand,0.7682,0.53,0.8412,"learn by play, not pressure",0.822172,0.86
26,5,Routehall,Routehall-learner-g05-3,adult_transmission,nari,nari-voice,0.8882,0.41,0.8112,you may refuse unsafe imitation,0.842772,0.91
27,5,Marketroof,Marketroof-learner-g05-1,child_observation,vonn,vonn-seed,0.6526,0.59,0.8352,you may refuse unsafe imitation,0.7867,0.803
27,5,Marketroof,Marketroof-learner-g05-2,apprentice_practice,melo,melo-hand,0.7726,0.53,0.8352,"learn by play, not pressure",0.8223,0.853
27,5,Marketroof,Marketroof-learner-g05-3,adult_transmission,keth,keth-voice,0.8926,0.41,0.8052,"learn by play, not pressure",0.8429,0.903
28,5,Quietledger,Quietledger-learner-g05-1,child_observation,sova,sova-seed,0.6438,0.59,0.8496,you may refuse unsafe imitation,0.78678,0.819
28,5,Quietledger,Quietledger-learner-g05-2,apprentice_practice,nari,nari-hand,0.7638,0.53,0.8496,you may refuse unsafe imitation,0.82238,0.869
28,5,Quietledger,Quietledger-learner-g05-3,adult_transmission,vonn,vonn-voice,0.8838,0.41,0.8196,you may refuse unsafe imitation,0.84298,0.919
29,5,Orchardring,Orchardring-learner-g05-1,child_observation,tek,tek-seed,0.657,0.59,0.8352,"learn by play, not pressure",0.787668,0.801
29,5,Orchardring,Orchardring-learner-g05-2,apprentice_practice,lum,lum-hand,0.777,0.53,0.8352,"learn by play, not pressure",0.823268,0.851
29,5,Orchardring,Orchardring-learner-g05-3,adult_transmission,melo,melo-voice,0.897,0.41,0.8052,"learn by play, not pressure",0.843868,0.901
30,5,Rainloft,Rainloft-learner-g05-1,child_observation,nari,nari-seed,0.646,0.59,0.846,you may refuse unsafe imitation,0.78676,0.815
30,5,Rainloft,Rainloft-learner-g05-2,apprentice_practice,sova,sova-hand,0.766,0.53,0.846,you may refuse unsafe imitation,0.82236,0.865
30,5,Rainloft,Rainloft-learner-g05-3,adult_transmission,vonn,vonn-voice,0.886,0.41,0.816,you may refuse unsafe imitation,0.84296,0.915
31,6,Hearthnest,Hearthnest-learner-g06-1,child_observation,lum,lum-seed,0.6804,0.596,0.8568,"learn by play, not pressure",0.79692,0.812
31,6,Hearthnest,Hearthnest-learner-g06-2,apprentice_practice,ori,ori-hand,0.8004,0.536,0.8568,"learn by play, not pressure",0.83252,0.862
31,6,Hearthnest,Hearthnest-learner-g06-3,adult_transmission,sova,sova-voice,0.9204,0.416,0.8268,you may refuse unsafe imitation,0.85312,0.912
32,6,Routehall,Routehall-learner-g06-1,child_observation,tek,tek-seed,0.6562,0.596,0.8412,"learn by play, not pressure",0.789412,0.81
32,6,Routehall,Routehall-learner-g06-2,apprentice_practice,nari,nari-hand,0.7762,0.536,0.8412,you may refuse unsafe imitation,0.825012,0.86
32,6,Routehall,Routehall-learner-g06-3,adult_transmission,keth,keth-voice,0.8962,0.416,0.8112,"learn by play, not pressure",0.845612,0.91
33,6,Marketroof,Marketroof-learner-g06-1,child_observation,melo,melo-seed,0.6606,0.596,0.8352,"learn by play, not pressure",0.78954,0.803
33,6,Marketroof,Marketroof-learner-g06-2,apprentice_practice,keth,keth-hand,0.7806,0.536,0.8352,"learn by play, not pressure",0.82514,0.853
33,6,Marketroof,Marketroof-learner-g06-3,adult_transmission,vonn,vonn-voice,0.9006,0.416,0.8052,you may refuse unsafe imitation,0.84574,0.903
34,6,Quietledger,Quietledger-learner-g06-1,child_observation,nari,nari-seed,0.6518,0.596,0.8496,you may refuse unsafe imitation,0.78962,0.819
34,6,Quietledger,Quietledger-learner-g06-2,apprentice_practice,vonn,vonn-hand,0.7718,0.536,0.8496,you may refuse unsafe imitation,0.82522,0.869
34,6,Quietledger,Quietledger-learner-g06-3,adult_transmission,sova,sova-voice,0.8918,0.416,0.8196,you may refuse unsafe imitation,0.84582,0.919
35,6,Orchardring,Orchardring-learner-g06-1,child_observation,lum,lum-seed,0.665,0.596,0.8352,"learn by play, not pressure",0.790508,0.801
35,6,Orchardring,Orchardring-learner-g06-2,apprentice_practice,melo,melo-hand,0.785,0.536,0.8352,"learn by play, not pressure",0.826108,0.851
35,6,Orchardring,Orchardring-learner-g06-3,adult_transmission,tek,tek-voice,0.905,0.416,0.8052,"learn by play, not pressure",0.846708,0.901
36,6,Rainloft,Rainloft-learner-g06-1,child_observation,sova,sova-seed,0.654,0.596,0.846,you may refuse unsafe imitation,0.7896,0.815
36,6,Rainloft,Rainloft-learner-g06-2,apprentice_practice,vonn,vonn-hand,0.774,0.536,0.846,you may refuse unsafe imitation,0.8252,0.865
36,6,Rainloft,Rainloft-learner-g06-3,adult_transmission,nari,nari-voice,0.894,0.416,0.816,you may refuse unsafe imitation,0.8458,0.915
37,7,Hearthnest,Hearthnest-learner-g07-1,child_observation,ori,ori-seed,0.6884,0.602,0.8568,"learn by play, not pressure",0.79976,0.812
37,7,Hearthnest,Hearthnest-learner-g07-2,apprentice_practice,sova,sova-hand,0.8084,0.542,0.8568,you may refuse unsafe imitation,0.83536,0.862
37,7,Hearthnest,Hearthnest-learner-g07-3,adult_transmission,lum,lum-voice,0.9284,0.422,0.8268,"learn by play, not pressure",0.85596,0.912
38,7,Routehall,Routehall-learner-g07-1,child_observation,nari,nari-seed,0.6642,0.602,0.8412,you may refuse unsafe imitation,0.792252,0.81
38,7,Routehall,Routehall-learner-g07-2,apprentice_practice,keth,keth-hand,0.7842,0.542,0.8412,"learn by play, not pressure",0.827852,0.86
38,7,Routehall,Routehall-learner-g07-3,adult_transmission,tek,tek-voice,0.9042,0.422,0.8112,"learn by play, not pressure",0.848452,0.91
39,7,Marketroof,Marketroof-learner-g07-1,child_observation,keth,keth-seed,0.6686,0.602,0.8352,"learn by play, not pressure",0.79238,0.803
39,7,Marketroof,Marketroof-learner-g07-2,apprentice_practice,vonn,vonn-hand,0.7886,0.542,0.8352,you may refuse unsafe imitation,0.82798,0.853
39,7,Marketroof,Marketroof-learner-g07-3,adult_transmission,melo,melo-voice,0.9086,0.422,0.8052,"learn by play, not pressure",0.84858,0.903
40,7,Quietledger,Quietledger-learner-g07-1,child_observation,vonn,vonn-seed,0.6598,0.602,0.8496,you may refuse unsafe imitation,0.79246,0.819
40,7,Quietledger,Quietledger-learner-g07-2,apprentice_practice,sova,sova-hand,0.7798,0.542,0.8496,you may refuse unsafe imitation,0.82806,0.869
40,7,Quietledger,Quietledger-learner-g07-3,adult_transmission,nari,nari-voice,0.8998,0.422,0.8196,you may refuse unsafe imitation,0.84866,0.919
41,7,Orchardring,Orchardring-learner-g07-1,child_observation,melo,melo-seed,0.673,0.602,0.8352,"learn by play, not pressure",0.793348,0.801
41,7,Orchardring,Orchardring-learner-g07-2,apprentice_practice,tek,tek-hand,0.793,0.542,0.8352,"learn by play, not pressure",0.828948,0.851
41,7,Orchardring,Orchardring-learner-g07-3,adult_transmission,lum,lum-voice,0.913,0.422,0.8052,"learn by play, not pressure",0.849548,0.901
42,7,Rainloft,Rainloft-learner-g07-1,child_observation,vonn,vonn-seed,0.662,0.602,0.846,you may refuse unsafe imitation,0.79244,0.815
42,7,Rainloft,Rainloft-learner-g07-2,apprentice_practice,nari,nari-hand,0.782,0.542,0.846,you may refuse unsafe imitation,0.82804,0.865
42,7,Rainloft,Rainloft-learner-g07-3,adult_transmission,sova,sova-voice,0.902,0.422,0.816,you may refuse unsafe imitation,0.84864,0.915
43,8,Hearthnest,Hearthnest-learner-g08-1,child_observation,sova,sova-seed,0.6964,0.608,0.8568,you may refuse unsafe imitation,0.8026,0.812
43,8,Hearthnest,Hearthnest-learner-g08-2,apprentice_practice,lum,lum-hand,0.8164,0.548,0.8568,"learn by play, not pressure",0.8382,0.862
43,8,Hearthnest,Hearthnest-learner-g08-3,adult_transmission,ori,ori-voice,0.9364,0.428,0.8268,"learn by play, not pressure",0.8588,0.912
44,8,Routehall,Routehall-learner-g08-1,child_observation,keth,keth-seed,0.6722,0.608,0.8412,"learn by play, not pressure",0.795092,0.81
