practice_id,local_name,origin_event,origin_resident,origin_household,problem_pressure,materials_used,hidden_properties_involved,visible_observations,resident_beliefs_involved,failed_ancestor_tests,social_transmission_path,mutation_variants,adoption_count,adoption_households,practical_score,ritual_score,taboo_score,dispute_score,maintenance_cost,risk_flags,generations_survived,status,avatar_role,predeclared_tech
36217-EPG-001,smoke-bound/quiet-doubt safety limit practice,36217-PDT-03,Sera,house_1,safety_limit,reed_fiber+wet_wood,audit_only_material_law,paused for safety boundary,36217-BEL-004,36217-PDT-03,Sera->Tovan,smoke-bound/quiet-doubt;smoke-bound/quiet-doubt safety limit practice,0,,0.0,0.2,0.28,0.12,2,failed ancestor,0,taboo,witnessed or supported,False
36217-EPG-002,smoke-bound/quiet-doubt schedule conflict practice,36217-PDT-05,Nia,house_1,schedule_conflict,reed_fiber+dry_resin,audit_only_material_law,repeatable workaround for schedule_conflict,36217-BEL-004,36217-PDT-03,Nia->Ari,smoke-bound/quiet-doubt;smoke-bound/quiet-doubt schedule conflict practice,3,house_1;house_2;house_3,0.6,0.12,0.06,0.18,2,failed ancestor,1,refined,witnessed or supported,False
36231-EPG-003,missing-repeat/quiet-doubt safety limit practice,36231-PDT-03,Nia,house_3,safety_limit,reed_fiber+wet_wood,audit_only_material_law,paused for safety boundary,36231-BEL-004,36231-PDT-03,Nia->Ari,missing-repeat/quiet-doubt;missing-repeat/quiet-doubt safety limit practice,0,,0.0,0.2,0.28,0.12,2,failed ancestor,0,taboo,witnessed or supported,False
36231-EPG-004,missing-repeat/quiet-doubt schedule conflict practice,36231-PDT-05,Fay,house_3,schedule_conflict,reed_fiber+dry_resin,audit_only_material_law,repeatable workaround for schedule_conflict,36231-BEL-004,36231-PDT-03,Fay->Milo,missing-repeat/quiet-doubt;missing-repeat/quiet-doubt schedule conflict practice,3,house_0;house_1;house_3,0.6,0.12,0.06,0.18,2,failed ancestor,1,institutionalized,witnessed or supported,False
36247-EPG-005,grain pull/water-hush safety limit practice,36247-PDT-03,Sera,house_3,safety_limit,reed_fiber+wet_wood,audit_only_material_law,paused for safety boundary,36247-BEL-004,36247-PDT-03,Sera->Tovan,grain pull/water-hush;grain pull/water-hush safety limit practice,1,house_0,0.2,0.4,0.3,0.24,2,failed ancestor,0,ritualized,witnessed or supported,False
36247-EPG-006,grain pull/water-hush schedule conflict practice,36247-PDT-05,Nia,house_3,schedule_conflict,reed_fiber+dry_resin,audit_only_material_law,repeatable workaround for schedule_conflict,36247-BEL-004,36247-PDT-03,Nia->Ari,grain pull/water-hush;grain pull/water-hush schedule conflict practice,2,house_1;house_3,0.4,0.08,0.04,0.15,2,failed ancestor,1,refined,witnessed or supported,False
36263-EPG-007,quiet sting/quiet-doubt safety limit practice,36263-PDT-03,Fay,house_3,safety_limit,reed_fiber+wet_wood,audit_only_material_law,paused for safety boundary,36263-BEL-004,36263-PDT-03,Fay->Milo,quiet sting/quiet-doubt;quiet sting/quiet-doubt safety limit practice,0,,0.0,0.2,0.28,0.12,2,failed ancestor,0,taboo,witnessed or supported,False
36263-EPG-008,quiet sting/quiet-doubt schedule conflict practice,36263-PDT-05,Sera,house_3,schedule_conflict,reed_fiber+dry_resin,audit_only_material_law,repeatable workaround for schedule_conflict,36263-BEL-004,36263-PDT-03,Sera->Tovan,quiet sting/quiet-doubt;quiet sting/quiet-doubt schedule conflict practice,3,house_0;house_1;house_3,0.6,0.12,0.06,0.18,2,failed ancestor,1,refined,witnessed or supported,False
36281-EPG-009,edge-shame/quiet-doubt safety limit practice,36281-PDT-03,Fay,house_1,safety_limit,reed_fiber+wet_wood,audit_only_material_law,paused for safety boundary,36281-BEL-004,36281-PDT-03,Fay->Milo,edge-shame/quiet-doubt;edge-shame/quiet-doubt safety limit practice,0,,0.0,0.2,0.28,0.12,2,failed ancestor,0,taboo,witnessed or supported,False
36281-EPG-010,edge-shame/quiet-doubt schedule conflict practice,36281-PDT-05,Sera,house_1,schedule_conflict,reed_fiber+dry_resin,audit_only_material_law,repeatable workaround for schedule_conflict,36281-BEL-004,36281-PDT-03,Sera->Tovan,edge-shame/quiet-doubt;edge-shame/quiet-doubt schedule conflict practice,3,house_1;house_2;house_3,0.6,0.12,0.06,0.18,2,failed ancestor,1,forgotten,witnessed or supported,False
