tick_index,agent,energy_budget,warmth_debt,hydration_debt,hunger_debt,pain_load,safety_deficit,sensory_overload,movement_cost,rest_debt,attachment_deficit,autonomy_debt,dignity_pressure,total_body_pressure
1,Ari,0.807331,0.0,0.134,0.155,0.057789,0.168966,0.08565,0.216094,0.127997,0.3032,0.2728,0.11,0.1359
2,Fay,0.801275,0.363093,0.184,0.155,0.125087,0.17779,0.071164,0.346823,0.131996,0.2816,0.2592,0.11,0.229541
3,Milo,0.798466,0.0,0.184,0.155,0.143699,0.182643,0.074697,0.409939,0.133946,0.2992,0.2688,0.11,0.176763
4,Sol,0.801928,0.0,0.184,0.155,0.06137,0.272532,0.407057,0.203646,0.133827,0.2944,0.2776,0.11,0.193554
5,Ari,0.79019,0.0,0.198,0.17,0.056372,0.414884,0.355031,0.201923,0.140725,0.4832,0.4728,0.26,0.228891
6,Fay,0.788882,0.0,0.198,0.25,0.050067,0.165973,0.081125,0.184616,0.138988,0.2816,0.2592,0.11,0.144528
7,Milo,0.782968,0.0,0.198,0.17,0.239862,0.203331,0.079244,0.182573,0.143317,0.2992,0.2688,0.11,0.174268
8,Sol,0.790491,0.0,0.198,0.17,0.058887,0.168183,0.082517,0.178816,0.140809,0.2944,0.0776,0.0,0.13032
9,Ari,0.940507,0.0,0.152,0.095,0.052467,0.0,0.075677,0.162865,0.0,0.3032,0.2728,0.11,0.087941
10,Fay,0.847138,0.0,0.212,0.265,0.04815,0.0,0.076824,0.165448,0.145375,0.0016,0.2592,0.0,0.10775
11,Milo,0.77256,0.0,0.212,0.185,0.040599,0.163903,0.080572,0.157941,0.149482,0.4792,0.6888,0.48,0.167683
12,Sol,0.779966,0.0,0.212,0.185,0.056035,0.168064,0.08393,0.150297,0.14704,0.2944,0.2776,0.11,0.140253
13,Ari,1.0,0.0,0.166,0.11,0.050332,0.164001,0.074796,0.141523,0.0,0.3032,0.0728,0.11,0.100856
14,Fay,0.830916,0.0,0.226,0.28,0.046905,0.059054,0.342729,0.153004,0.0,0.0016,0.2592,0.11,0.13457
15,Milo,0.762901,0.0,0.226,0.2,0.037973,0.165181,0.086207,0.131681,0.155037,0.0192,0.2688,0.0,0.124535
16,Sol,0.768114,0.0,0.226,0.2,0.059191,0.167104,0.078955,0.181865,0.154038,0.2944,0.2776,0.11,0.146949
17,Ari,0.98281,0.380024,0.23,0.125,0.131466,0.183274,0.084315,0.304862,0.011237,0.3032,0.2728,0.11,0.222924
18,Fay,0.809218,0.0,0.29,0.295,0.160748,0.185,0.071407,0.360434,0.012818,0.2816,0.2592,0.11,0.183708
19,Milo,0.746754,0.0,0.29,0.215,0.039989,0.263667,0.392717,0.151838,0.166966,0.2992,0.2688,0.11,0.200586
20,Sol,0.753037,0.0,0.29,0.215,0.05598,0.402973,0.318054,0.149751,0.164702,0.4744,0.4776,0.26,0.232432
21,Ari,0.97257,0.0,0.244,0.22,0.04995,0.164998,0.078151,0.137698,0.016952,0.3032,0.2728,0.11,0.130312
22,Fay,0.792731,0.0,0.304,0.31,0.281073,0.209401,0.072457,0.142682,0.021558,0.2816,0.2592,0.11,0.186174
23,Milo,0.736342,0.0,0.304,0.23,0.039638,0.160894,0.07177,0.148326,0.172702,0.2992,0.0688,0.0,0.140566
24,Sol,0.903778,0.0,0.244,0.14,0.054725,0.0,0.072131,0.137196,0.000351,0.2944,0.2776,0.11,0.098138
25,Ari,1.0,0.0,0.258,0.235,0.052148,0.0,0.080898,0.159676,0.023318,0.0232,0.2728,0.0,0.099698
26,Fay,0.780391,0.0,0.318,0.325,0.047947,0.163394,0.074389,0.163425,0.027844,0.4616,0.6792,0.48,0.178325
27,Milo,0.724742,0.0,0.318,0.245,0.041572,0.165723,0.08565,0.167671,0.179229,0.2992,0.2688,0.11,0.158747
28,Sol,1.0,0.0,0.258,0.155,0.057033,0.166859,0.079538,0.160275,0.0,0.2944,0.0776,0.11,0.11801
29,Ari,0.98167,0.0,0.272,0.25,0.054923,0.078747,0.399256,0.18743,0.0,0.0232,0.2728,0.11,0.15284
30,Fay,0.767621,0.0,0.332,0.34,0.048638,0.163144,0.073178,0.170329,0.034295,0.0016,0.2592,0.0,0.138409
31,Sol,0.98696,0.0,0.272,0.17,0.063374,0.166306,0.073847,0.223688,0.008043,0.2944,0.2776,0.11,0.138794
32,Ari,0.961252,0.404669,0.336,0.265,0.13564,0.182559,0.079471,0.346597,0.012285,0.3032,0.2728,0.11,0.255242
33,Fay,0.743531,0.0,0.396,0.355,0.164751,0.18765,0.077187,0.400458,0.048315,0.2816,0.2592,0.11,0.209366
34,Milo,0.706979,0.0,0.382,0.26,0.043452,0.259369,0.377119,0.186468,0.191807,0.2992,0.2688,0.11,0.21821
35,Sol,0.970921,0.0,0.336,0.185,0.058932,0.406494,0.327211,0.179275,0.019687,0.4744,0.4776,0.26,0.225143
36,Ari,0.948612,0.0,0.35,0.36,0.051965,0.164136,0.074196,0.157854,0.018474,0.3032,0.2728,0.11,0.155608
37,Fay,0.725708,0.0,0.41,0.37,0.282319,0.211905,0.079505,0.155138,0.05753,0.2816,0.2592,0.11,0.208537
38,Milo,0.695708,0.0,0.396,0.275,0.040014,0.164022,0.08131,0.15209,0.197827,0.2992,0.0688,0.0,0.158385
39,Sol,1.0,0.0,0.29,0.11,0.0547,0.0,0.080904,0.136951,0.0,0.2944,0.2776,0.11,0.101025
40,Ari,1.0,0.0,0.364,0.375,0.05071,0.0,0.07487,0.145298,0.024334,0.0232,0.2728,0.0,0.120464
41,Fay,0.713461,0.0,0.424,0.385,0.045844,0.163172,0.075011,0.142392,0.063253,0.4616,0.6792,0.48,0.195259
42,Milo,0.684645,0.0,0.41,0.29,0.03886,0.164924,0.08485,0.140551,0.203598,0.2992,0.2688,0.11,0.170809
43,Sol,1.0,0.0,0.304,0.125,0.053125,0.165969,0.0792,0.1212,0.0,0.2944,0.0776,0.11,0.114822
44,Ari,0.982294,0.0,0.378,0.39,0.051485,0.061058,0.346128,0.153053,0.0,0.0232,0.2728,0.11,0.162857
45,Fay,0.701115,0.0,0.438,0.4,0.045166,0.166312,0.085247,0.13561,0.068986,0.0016,0.2592,0.0,0.155396
46,Milo,0.671538,0.0,0.424,0.305,0.043726,0.165137,0.082476,0.189211,0.210653,0.2992,0.2688,0.11,0.180141
47,Sol,0.982056,0.487159,0.368,0.14,0.143201,0.185247,0.083145,0.313962,0.011604,0.2944,0.2776,0.11,0.260209
48,Ari,0.958273,0.0,0.442,0.405,0.175983,0.192288,0.084661,0.372031,0.013569,0.3032,0.2728,0.11,0.216967
49,Fay,0.681447,0.0,0.502,0.415,0.047947,0.274467,0.421492,0.163417,0.081866,0.2816,0.2592,0.11,0.237428
50,Milo,0.654528,0.0,0.488,0.32,0.040962,0.410027,0.349484,0.161571,0.222027,0.4792,0.4688,0.26,0.270871
51,Sol,0.97103,0.0,0.382,0.235,0.055936,0.166998,0.080659,0.149306,0.017746,0.2944,0.2776,0.11,0.148157
52,Ari,0.939292,0.0,0.456,0.42,0.310822,0.21688,0.077236,0.154416,0.023092,0.3032,0.2728,0.11,0.220858
53,Fay,0.667754,0.0,0.516,0.43,0.047682,0.166848,0.085348,0.160766,0.088288,0.2816,0.0592,0.0,0.175083
54,Milo,0.80302,0.0,0.442,0.245,0.04125,0.0,0.087511,0.164451,0.058501,0.2992,0.2688,0.11,0.135691
55,Sol,1.0,0.0,0.396,0.25,0.058127,0.0,0.082394,0.171219,0.024519,0.0144,0.2776,0.0,0.117174
56,Ari,0.924907,0.0,0.47,0.435,0.053723,0.167269,0.082889,0.175429,0.029927,0.4832,0.6928,0.48,0.2092
57,Fay,0.653315,0.0,0.53,0.445,0.049404,0.165236,0.079234,0.177989,0.095063,0.2816,0.2592,0.11,0.189721
58,Milo,0.951295,0.0,0.456,0.26,0.041532,0.165021,0.083485,0.167268,0.0,0.2992,0.0688,0.11,0.145566
59,Sol,0.982365,0.0,0.41,0.265,0.060643,0.05622,0.325284,0.196384,0.0,0.0144,0.2776,0.11,0.15766
60,Ari,0.910367,0.0,0.484,0.45,0.053801,0.166299,0.079809,0.176206,0.036724,0.0232,0.2728,0.0,0.168222
61,Milo,0.937201,0.0,0.47,0.275,0.047379,0.164361,0.077766,0.225742,0.007963,0.2992,0.2688,0.11,0.165701
