tick_id,day,settlement_id,resident_id,turn_index,avatar_phrase,resident_phrase,intent,response_key,confidence_before,confidence_after,misunderstanding_risk,bounded_phrasebook,no_llm_call,private_workspace_not_dumped,frequency_hz,flower_phase
0,1,glass_harbor,Nia,0,I ask net owner,lamp stays bright,repair uncertainty,admit_unknown,0.38,0.398,0.36,True,True,True,6.52952,0.034833
1,1,cinder_garden,Pax,0,I offer cool stone,cool hand means wait,offer bounded aid,offer_trade,0.38,0.384,0.36,True,True,True,9.09246,0.060463
2,1,lichen_bridge,Rin,0,I do not step on rope,bell has keeper,respect boundary,step_back,0.38,0.39,0.36,True,True,True,7.7712,0.054093
3,1,orchid_engine,Eli,0,I need translation,say it with palms,answer bounded phrase,answer_known,0.38,0.386,0.4,True,True,True,10.10704,0.081722
4,1,moss_ward,Ari,0,I wait,warm cup first,repair uncertainty,ask_clarify,0.38,0.398,0.36,True,True,True,5.46752,0.040352
5,1,glass_harbor,Oren,1,I ask net owner,lamp stays bright,repair uncertainty,gesture_repair,0.38,0.398,0.36,True,True,True,6.61452,0.057981
6,1,cinder_garden,Vale,1,I offer cool stone,cool hand means wait,repair uncertainty,admit_unknown,0.38,0.398,0.36,True,True,True,9.18152,0.083611
7,1,lichen_bridge,Sol,1,I do not step on rope,bell has keeper,offer bounded aid,offer_trade,0.38,0.384,0.36,True,True,True,7.85446,0.077241
8,1,orchid_engine,Bea,1,I need translation,say it with palms,respect boundary,step_back,0.38,0.39,0.36,True,True,True,10.1932,0.10487
9,1,moss_ward,Fay,1,I wait,warm cup first,answer bounded phrase,answer_known,0.38,0.386,0.4,True,True,True,5.54904,0.0635
10,1,glass_harbor,Puck,2,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.38,0.398,0.36,True,True,True,6.69952,0.08113
11,1,cinder_garden,Wren,2,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.38,0.398,0.36,True,True,True,9.26652,0.106759
12,1,lichen_bridge,Kio,2,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.38,0.398,0.36,True,True,True,7.94352,0.100389
13,1,orchid_engine,Cai,2,I need translation,say it with palms,offer bounded aid,offer_trade,0.38,0.384,0.36,True,True,True,10.27646,0.128019
14,1,moss_ward,Milo,2,I wait,warm cup first,respect boundary,step_back,0.38,0.39,0.36,True,True,True,5.6352,0.086648
15,1,glass_harbor,Sera,3,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.38,0.386,0.4,True,True,True,6.78104,0.104278
16,1,cinder_garden,Juno,3,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.38,0.398,0.36,True,True,True,9.35152,0.129907
17,1,lichen_bridge,Luma,3,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.38,0.398,0.36,True,True,True,8.02852,0.123537
18,2,moss_ward,Ari,3,I offer trade,blanket path clear,offer bounded aid,offer_trade,0.398,0.402,0.342,True,True,True,5.7085,0.106
19,2,glass_harbor,Oren,4,I do not dim lamp,fog catcher closed,respect boundary,step_back,0.398,0.408,0.342,True,True,True,6.85542,0.12363
20,2,cinder_garden,Vale,4,I need translation,repeat without hurry,answer bounded phrase,answer_known,0.398,0.404,0.382,True,True,True,9.42256,0.149259
21,2,lichen_bridge,Sol,4,I touch rope post,signal hush first,repair uncertainty,ask_clarify,0.384,0.402,0.356,True,True,True,8.09768,0.142889
22,2,orchid_engine,Bea,3,I ask valve custom,orchid lamp rests,repair uncertainty,gesture_repair,0.39,0.408,0.35,True,True,True,10.43642,0.170519
23,2,moss_ward,Fay,4,I offer trade,blanket path clear,repair uncertainty,admit_unknown,0.386,0.404,0.354,True,True,True,5.79278,0.129148
24,2,glass_harbor,Puck,5,I do not dim lamp,fog catcher closed,offer bounded aid,offer_trade,0.398,0.402,0.342,True,True,True,6.9405,0.146778
25,2,cinder_garden,Wren,5,I need translation,repeat without hurry,respect boundary,step_back,0.398,0.408,0.342,True,True,True,9.50742,0.172407
26,2,lichen_bridge,Kio,5,I touch rope post,signal hush first,answer bounded phrase,answer_known,0.398,0.404,0.382,True,True,True,8.18456,0.166037
27,2,orchid_engine,Cai,4,I ask valve custom,orchid lamp rests,repair uncertainty,ask_clarify,0.384,0.402,0.356,True,True,True,10.51968,0.193667
28,2,moss_ward,Milo,5,I offer trade,blanket path clear,repair uncertainty,gesture_repair,0.39,0.408,0.35,True,True,True,5.87842,0.152296
29,2,glass_harbor,Sera,6,I do not dim lamp,fog catcher closed,repair uncertainty,admit_unknown,0.386,0.404,0.354,True,True,True,7.02478,0.169926
30,2,cinder_garden,Juno,6,I need translation,repeat without hurry,offer bounded aid,offer_trade,0.398,0.402,0.342,True,True,True,9.5925,0.195556
31,2,lichen_bridge,Luma,6,I touch rope post,signal hush first,respect boundary,step_back,0.398,0.408,0.342,True,True,True,8.26942,0.189185
32,2,orchid_engine,Dax,5,I ask valve custom,orchid lamp rests,answer bounded phrase,answer_known,0.38,0.386,0.4,True,True,True,10.60004,0.216815
33,2,moss_ward,Tala,6,I offer trade,blanket path clear,repair uncertainty,ask_clarify,0.38,0.398,0.36,True,True,True,5.96052,0.175444
34,2,glass_harbor,Nia,7,I do not dim lamp,fog catcher closed,repair uncertainty,gesture_repair,0.398,0.416,0.342,True,True,True,7.11404,0.193074
35,2,cinder_garden,Pax,7,I need translation,repeat without hurry,repair uncertainty,admit_unknown,0.384,0.402,0.356,True,True,True,9.67568,0.218704
