seed,row_id,source_belief_id,source_schedule_id,source_bottleneck_id,ordinary_action,hidden_law_exposed,avatar_answer
36217,36217-PDT-01,36217-BEL-004,36217-SCH-01,36217-BOT-01,askSchedule,False,False
36217,36217-PDT-02,36217-BEL-004,36217-SCH-01,36217-BOT-02,borrowTool,False,False
36217,36217-PDT-03,36217-BEL-004,36217-SCH-01,36217-BOT-03,offerHelp,False,False
36217,36217-PDT-04,36217-BEL-004,36217-SCH-01,36217-BOT-04,runScheduledAnomalyInvestigation,False,False
36217,36217-PDT-05,36217-BEL-004,36217-SCH-01,36217-BOT-05,askSchedule,False,False
36217,36217-PDT-06,36217-BEL-004,36217-SCH-01,36217-BOT-06,offerHelp,False,False
36217,36217-PDT-07,36217-BEL-004,36217-SCH-01,36217-BOT-07,askSchedule,False,False
36231,36231-PDT-01,36231-BEL-004,36231-SCH-01,36231-BOT-01,askSchedule,False,False
36231,36231-PDT-02,36231-BEL-004,36231-SCH-01,36231-BOT-02,borrowTool,False,False
36231,36231-PDT-03,36231-BEL-004,36231-SCH-01,36231-BOT-03,offerHelp,False,False
36231,36231-PDT-04,36231-BEL-004,36231-SCH-01,36231-BOT-04,runScheduledAnomalyInvestigation,False,False
36231,36231-PDT-05,36231-BEL-004,36231-SCH-01,36231-BOT-05,askSchedule,False,False
36231,36231-PDT-06,36231-BEL-004,36231-SCH-01,36231-BOT-06,offerHelp,False,False
36231,36231-PDT-07,36231-BEL-004,36231-SCH-01,36231-BOT-07,askSchedule,False,False
36247,36247-PDT-01,36247-BEL-004,36247-SCH-01,36247-BOT-01,askSchedule,False,False
36247,36247-PDT-02,36247-BEL-004,36247-SCH-01,36247-BOT-02,borrowTool,False,False
36247,36247-PDT-03,36247-BEL-004,36247-SCH-01,36247-BOT-03,offerHelp,False,False
36247,36247-PDT-04,36247-BEL-004,36247-SCH-01,36247-BOT-04,runScheduledAnomalyInvestigation,False,False
36247,36247-PDT-05,36247-BEL-004,36247-SCH-01,36247-BOT-05,askSchedule,False,False
36247,36247-PDT-06,36247-BEL-004,36247-SCH-01,36247-BOT-06,offerHelp,False,False
36247,36247-PDT-07,36247-BEL-004,36247-SCH-01,36247-BOT-07,askSchedule,False,False
36263,36263-PDT-01,36263-BEL-004,36263-SCH-01,36263-BOT-01,askSchedule,False,False
36263,36263-PDT-02,36263-BEL-004,36263-SCH-01,36263-BOT-02,borrowTool,False,False
36263,36263-PDT-03,36263-BEL-004,36263-SCH-01,36263-BOT-03,offerHelp,False,False
36263,36263-PDT-04,36263-BEL-004,36263-SCH-01,36263-BOT-04,runScheduledAnomalyInvestigation,False,False
36263,36263-PDT-05,36263-BEL-004,36263-SCH-01,36263-BOT-05,askSchedule,False,False
36263,36263-PDT-06,36263-BEL-004,36263-SCH-01,36263-BOT-06,offerHelp,False,False
36263,36263-PDT-07,36263-BEL-004,36263-SCH-01,36263-BOT-07,askSchedule,False,False
36281,36281-PDT-01,36281-BEL-004,36281-SCH-01,36281-BOT-01,askSchedule,False,False
36281,36281-PDT-02,36281-BEL-004,36281-SCH-01,36281-BOT-02,borrowTool,False,False
36281,36281-PDT-03,36281-BEL-004,36281-SCH-01,36281-BOT-03,offerHelp,False,False
36281,36281-PDT-04,36281-BEL-004,36281-SCH-01,36281-BOT-04,runScheduledAnomalyInvestigation,False,False
36281,36281-PDT-05,36281-BEL-004,36281-SCH-01,36281-BOT-05,askSchedule,False,False
36281,36281-PDT-06,36281-BEL-004,36281-SCH-01,36281-BOT-06,offerHelp,False,False
36281,36281-PDT-07,36281-BEL-004,36281-SCH-01,36281-BOT-07,askSchedule,False,False
36307,36307-PDT-01,36307-BEL-004,36307-SCH-01,36307-BOT-01,askSchedule,False,False
36307,36307-PDT-02,36307-BEL-004,36307-SCH-01,36307-BOT-02,borrowTool,False,False
36307,36307-PDT-03,36307-BEL-004,36307-SCH-01,36307-BOT-03,offerHelp,False,False
36307,36307-PDT-04,36307-BEL-004,36307-SCH-01,36307-BOT-04,runScheduledAnomalyInvestigation,False,False
36307,36307-PDT-05,36307-BEL-004,36307-SCH-01,36307-BOT-05,askSchedule,False,False
